#{"t_start": 1552681092.3683267, "env_id": "Baxter-v0"}
r,l,t
-6.371549,31,348.603904
-8.188501,35,712.235104
-5.722528,21,1008.038044
-2.357941,14,1282.398873
-5.126134,21,1693.905171
-5.348237,26,2000.801798
-2.482304,10,2134.845471
-8.948751,31,2397.809194
-3.187896,17,2610.63577
-5.105421,23,2851.967657
-6.033669,32,3201.758528
-2.569731,15,3380.979331
-4.125344,24,3663.821627
-5.300947,23,3908.643643
-4.181221,14,4061.71004
-3.839128,16,4225.944928
-3.656972,18,4408.678816
-5.49035,33,4706.577529
-4.900928,15,4866.109823
-3.460026,13,5015.822385
-8.466404,25,5255.253925
-0.855905,6,5333.42157
-0.800524,6,5423.696563
-6.332803,20,5622.50851
-3.507075,16,5784.089759
-7.436071,32,6011.556761
-3.24558,16,6175.319828
-2.095115,13,6298.963893
-5.913083,20,6478.306926
-6.90415,18,6661.288516
-3.08216,13,6801.311103
-6.473362,25,7033.507244
-2.260442,15,7183.379926
-2.909678,14,7323.244378
-5.659872,17,7474.006811
-48.719412,101,7849.73225
-5.325629,18,8029.690559
-2.015373,14,8167.724813
-3.756402,21,8367.973008
-1.580871,8,8471.101993
-2.988736,18,8642.524244
-2.701943,15,8784.897684
-8.549356,32,9042.439596
-3.110581,14,9195.687068
-3.970066,13,9337.435749
-2.206713,16,9499.995656
-9.299774,37,9837.331825
-10.358845,41,10212.138963
-2.470844,9,10304.323113
-5.112799,17,10457.125816
-4.145026,19,10644.375265
-13.480495,35,10952.635106
-9.0975,26,11186.761457
-5.752564,16,11342.165174
-7.122181,21,11526.08583
-6.236036,20,11713.411782
-10.667502,37,12027.422801
-3.500865,18,12218.909732
-2.929693,13,12359.465146
-4.065359,15,12505.606891
-5.103333,24,12727.413111
-9.379221,41,13074.112561
-2.19778,13,13215.625273
-4.173064,15,13372.168216
-4.852648,18,13533.890171
-3.118658,12,13641.723096
-4.573384,20,13845.794261
-7.788542,23,14066.300801
-9.670677,31,14341.149639
-3.308696,15,14499.580175
-2.367366,10,14612.101164
-6.135564,18,14794.82337
-2.356228,8,14897.01894
-9.755129,33,15192.418352
-3.866187,15,15344.201192
-4.003566,12,15485.848791
-2.182416,8,15587.788064
-4.740055,17,15769.325814
-12.56675,34,16083.89837
-4.902904,17,16265.961123
-3.503006,16,16427.059826
-31.832991,101,16587.893699
-4.784254,21,16787.623214
-19.28303,44,17193.859751
-5.55371,21,17405.993771
-8.23764,32,17703.023149
-2.115987,11,17843.463378
-2.416719,7,17947.189974
-5.37869,21,18157.553177
-4.198721,17,18319.218892
-2.766936,9,18426.946518
-3.753784,14,18594.716551
-4.914118,16,18750.892634
-5.739993,16,18941.578786
-2.934717,14,19082.416842
-2.677145,13,19232.664335
-8.115111,28,19458.061779
-2.817109,12,19597.281199
-3.300439,13,19746.112697
-5.637757,17,19931.571841
-2.340438,9,20052.106719
-3.414606,10,20185.381485
-1.954849,6,20281.77844
-2.890979,8,20397.157612
-7.699464,22,20620.357585
-6.440275,29,20857.440269
-3.021223,9,20994.18815
-3.743808,14,21182.468065
-2.805081,8,21306.287513
-17.412849,61,21847.983893
-2.904644,12,22013.953068
-4.550933,19,22236.539812
-6.799579,16,22412.006177
-4.190828,17,22594.959156
-5.057163,16,22770.970694
-0.26449,1,22785.777354
-6.58147,20,22989.44214
-1.805813,7,23092.931682
-7.471358,24,23314.314567
-15.277337,33,23588.684521
-8.213729,27,23833.972388
-12.191393,34,24133.027876
-6.463372,32,24446.985742
-4.761467,12,24584.583946
-6.483387,23,24807.30075
-11.053127,29,24960.785994
-3.716483,15,25128.625692
-6.879415,20,25336.971386
-3.060733,8,25445.447423
-1.87497,7,25528.969269
-7.786236,19,25712.044237
-14.73219,32,26020.604895
-11.035137,29,26300.236475
-4.471881,14,26439.208056
-5.994873,15,26607.181798
-3.540092,13,26758.606467
-8.007208,21,26969.967263
-12.80834,26,27232.083237
-5.924195,23,27456.926688
-3.295157,12,27613.952759
-2.523866,8,27717.839992
-4.564989,21,27967.663042
-4.956336,20,28195.890256
-8.878605,21,28431.631462
-3.587732,13,28591.50672
-1.968563,6,28694.816967
-0.309222,1,28712.148247
-36.398294,101,29184.810104
-12.221241,31,29487.189651
-7.50637,18,29694.579989
-4.178953,18,29900.376621
-9.401291,29,30170.691715
-4.940913,17,30361.238156
-5.860094,17,30560.919182
-3.028625,8,30679.467467
-8.916733,22,30939.750322
-5.080486,13,31121.630214
-15.024967,28,31434.149538
-3.71745,11,31575.042785
-11.589883,32,31913.72027
-5.464385,14,32100.364043
-3.063842,9,32244.658651
-5.208963,15,32445.531091
-3.589261,9,32577.939921
-12.892017,37,32938.331318
-6.439569,20,33174.518335
-10.155774,32,33521.942732
-3.13972,11,33641.307636
-5.723812,15,33826.132204
-7.68179,28,34116.226367
-5.904744,15,34305.664344
-7.555888,27,34593.222136
-6.376545,14,34770.094111
-5.751825,14,34940.041905
-8.154518,20,35167.064742
-9.716653,23,35392.853603
-6.777805,15,35580.276919
-8.807986,23,35837.059099
-5.160654,17,36035.58182
-2.734354,9,36162.886236
-8.644254,25,36437.028996
-3.433625,9,36546.41232
-3.17773,8,36669.965503
-3.017429,10,36800.764084
-4.17107,15,36946.175889
-6.316412,18,37129.185159
-7.997487,20,37334.898492
-6.418373,17,37516.131089
-4.761458,13,37666.786988
-6.236014,25,37882.901585
-3.720443,11,38019.538077
-7.348767,20,38216.426767
-4.894199,19,38393.686587
-2.824539,7,38492.943667
-7.103481,24,38723.043503
-10.320717,21,38942.536078
-3.168892,11,39066.482838
-19.207162,36,39387.030083
-5.785637,13,39533.304132
-7.72242,20,39726.209278
-3.075765,8,39829.58191
-13.704291,38,40077.411643
-6.9932,29,40370.88099
-10.593252,25,40584.611703
-2.454477,10,40708.753331
-6.631103,16,40886.910943
-5.169243,16,41061.836353
-8.723976,21,41273.323438
-3.476818,14,41421.857063
-10.26703,26,41664.58134
-0.509163,1,41684.893389
-5.671815,23,41908.284366
-4.879303,16,42079.290849
-11.545618,24,42305.968677
-3.751119,12,42445.11957
-6.473002,21,42657.577332
-16.401251,45,43078.396566
-0.369119,1,43087.695527
-4.244968,12,43231.007853
-4.265046,12,43376.915054
