#{"t_start": 1553642152.904134, "env_id": "Baxter-v0"}
r,l,t
-3.48759,19,174.106184
-9.742237,33,354.041859
-6.09002,26,495.345134
-3.356893,20,607.641892
-0.666058,5,642.663139
-5.113075,20,736.059616
-6.458562,28,886.573944
-0.362032,1,898.154304
-4.883289,25,1034.561
-4.51267,27,1173.336405
-5.337388,19,1277.450755
-3.209174,11,1349.554341
-3.300568,12,1427.17711
-2.654639,12,1507.325878
-3.664674,14,1589.855913
-7.272204,26,1678.927229
-2.54929,16,1797.863304
-3.126174,12,1886.352542
-0.333174,1,1903.493932
-2.328112,14,1992.701009
-3.204659,13,2066.846996
-2.446745,12,2148.215254
-3.287969,16,2235.350066
-6.946479,18,2341.657851
-4.0723,22,2457.096029
-2.871429,14,2531.181586
-19.32814,48,2739.721381
-4.06641,16,2828.390237
-1.932336,11,2898.989844
-2.704032,10,2965.8198
-3.392138,24,3100.397596
-3.496047,15,3179.908441
-4.604803,16,3271.225057
-3.310836,12,3346.50603
-14.122877,33,3498.910505
-6.151173,19,3605.347246
-2.388209,13,3685.950054
-4.409304,15,3771.822564
-3.604956,15,3854.912817
-5.719954,21,3963.794727
-9.390357,25,4087.600928
-0.439445,1,4096.055156
-5.642267,26,4232.164399
-16.771487,36,4385.788092
-7.000374,26,4496.389019
-9.096355,31,4574.757635
-11.283959,26,4669.452282
-6.86553,30,4778.067056
-2.948998,13,4830.186923
-4.839203,22,4913.977247
-3.541156,22,4998.476429
-3.862176,17,5061.530543
-2.593744,10,5112.849561
-2.079434,9,5161.575011
-3.74851,12,5211.038385
-6.450772,23,5294.771098
-7.730218,30,5399.234251
-7.526462,29,5507.427984
-4.020172,28,5632.253135
-5.859274,20,5705.402985
-2.151482,7,5748.821082
-5.165886,19,5829.505387
-2.787456,9,5870.672192
-3.06208,11,5924.536943
-3.146232,12,5983.624586
-7.375058,24,6078.149364
-1.623486,7,6111.908069
-3.136199,10,6155.808225
-4.867121,14,6218.112681
-39.496086,101,6298.796277
-6.966739,20,6378.547135
-3.808534,10,6428.796738
-4.581058,25,6524.801443
-8.434124,28,6628.746708
-5.49582,23,6721.560237
-9.022111,22,6807.683923
-5.074444,12,6862.246948
-4.915783,15,6919.210779
-4.829158,16,6986.146127
-3.534165,10,7029.773486
-5.071419,20,7101.113507
-3.128691,10,7153.532346
-6.415117,18,7222.870185
-5.972241,16,7286.426298
-5.566062,18,7363.586545
-9.293261,30,7469.4243
-3.92781,17,7540.993269
-7.6602,26,7641.763182
-2.316407,10,7692.24295
-6.707396,17,7765.669311
-8.592143,19,7835.627759
-11.749578,25,7933.175033
-3.655403,18,8034.149147
-4.311043,12,8122.580595
-2.168001,10,8196.503301
-8.891795,32,8323.827978
-5.612096,14,8410.775982
-8.728571,24,8545.979239
-4.754244,15,8630.006493
-3.847947,11,8703.735177
-3.564919,14,8791.10732
-4.629914,17,8897.575533
-5.244721,13,8973.162377
-3.143325,10,9050.415841
-4.698298,14,9141.827662
-4.548777,24,9276.355796
-3.891876,19,9381.823908
-5.936364,18,9487.343791
-4.432818,18,9591.312174
-4.784569,12,9673.443731
-3.021013,10,9743.505682
-0.303195,1,9753.056956
-4.173923,10,9823.87072
-4.854634,15,9908.114794
-6.921253,19,10017.716208
-0.305332,1,10028.339785
-3.708753,14,10110.007904
-10.88788,33,10217.264098
-5.622354,20,10295.395197
-4.964363,13,10358.263255
-4.058489,20,10435.853008
-6.091524,25,10534.236464
-3.926652,14,10599.381037
-5.707414,21,10686.635543
-5.007502,14,10751.97744
-5.28237,15,10821.995823
-4.166966,14,10889.579024
-3.352375,13,10952.641761
-3.342677,11,11002.169539
-3.139752,10,11054.480781
-1.892928,7,11095.542104
-2.516213,11,11150.799197
-2.561579,9,11199.127112
-2.594339,8,11245.854709
-2.469923,11,11293.445909
-5.269072,14,11351.797809
-3.009393,10,11404.382223
-4.522198,12,11470.192785
-2.957864,10,11547.608169
-4.388478,11,11632.92656
-4.081738,11,11714.477315
-3.256868,10,11790.630881
-5.563131,14,11879.885788
-4.763747,11,11956.83563
-3.880373,16,12053.655044
-4.891339,13,12139.607253
-4.017183,16,12233.610238
-3.015828,9,12302.133294
-3.257699,13,12388.941391
-2.773197,13,12473.823095
-2.620155,13,12560.909218
-4.88865,12,12642.226825
-0.391635,1,12651.500223
-6.803278,18,12752.966163
-4.498933,12,12830.216145
-0.391713,1,12840.996902
-3.317881,10,12921.06488
-3.71929,10,13000.745283
-0.33702,1,13010.675108
-4.311721,14,13108.807299
-5.048887,13,13207.281543
-4.227892,9,13282.490504
-3.211538,9,13342.566628
-0.315071,1,13353.537721
-2.94294,9,13424.580872
-3.369025,9,13498.865662
-0.367852,1,13510.046007
-3.643458,10,13578.733998
-3.336987,12,13643.31296
-3.618794,12,13709.048091
-3.420469,12,13773.471329
-3.75684,12,13830.669865
-2.728275,9,13871.917128
-3.405829,9,13924.379955
-3.65181,10,13976.356187
-3.499792,11,14032.769191
-2.709869,10,14076.716486
-7.715163,23,14145.736557
-4.118285,10,14199.612251
-3.01144,11,14252.237016
-2.717351,9,14301.205834
-3.121068,10,14355.395519
-3.45817,10,14407.320993
-5.286059,14,14472.478314
-3.883838,11,14519.210574
-2.780156,8,14568.360415
-5.380116,13,14634.360608
-4.517173,12,14694.931336
-0.400464,1,14702.448575
-4.104668,10,14754.006082
-2.596087,9,14804.574863
-3.587592,11,14860.178317
-2.524393,8,14899.899455
-2.60015,9,14942.324762
-3.420614,9,14992.900638
-3.186676,10,15046.681759
-3.635697,10,15090.679327
-3.487878,11,15145.935116
-3.998705,10,15197.930935
-2.35414,8,15233.772356
-4.084071,12,15285.875385
-2.430661,10,15328.762062
-2.55685,9,15369.335445
-2.994556,8,15412.841657
-2.837676,9,15453.72016
-3.649654,9,15496.710475
-3.462775,10,15549.633637
-4.683908,12,15604.230168
-2.765888,8,15647.031653
-4.020864,13,15705.183929
-2.96273,10,15750.313812
-3.205769,9,15798.818692
-3.655209,11,15852.082817
-3.330686,11,15898.376629
-2.990593,9,15946.104771
-2.949721,9,15986.71724
-2.404535,8,16031.750504
-3.348248,9,16080.271212
-3.465652,9,16126.565532
-2.591628,9,16173.076264
-2.653259,10,16216.534327
-3.287559,10,16259.879868
-3.108826,9,16299.779102
-2.856584,8,16343.964482
-3.52692,11,16397.86457
-3.995472,9,16445.042054
-3.255205,10,16494.071301
-4.142487,10,16544.437264
-2.281393,10,16594.239116
-2.72918,9,16641.8293
-4.162325,10,16686.535539
-2.988266,10,16735.464298
-2.87502,9,16775.515935
-2.736873,8,16820.6439
-3.31479,9,16868.164471
-3.69333,10,16917.572993
-2.987473,10,16968.205074
-2.492057,9,17008.67957
-2.914031,8,17052.652764
-2.840886,10,17095.758557
-3.012334,9,17143.420749
-2.604157,9,17191.252468
-3.79733,10,17241.439215
-2.674686,8,17285.04674
-2.501158,9,17334.39215
-2.693897,8,17370.554519
-2.506764,9,17411.779557
-2.863908,9,17450.920072
-2.806933,9,17497.736809
-2.288325,8,17542.592722
-2.889968,8,17585.092024
-3.080803,8,17630.391858
-2.637597,8,17667.207799
-4.144145,11,17713.912565
-2.948808,10,17758.400805
-2.32125,8,17803.605677
-2.223882,8,17842.486113
-2.06575,9,17889.893986
-3.098643,8,17935.241935
-3.329405,11,17979.339742
-1.999772,8,18024.236872
-2.251439,9,18072.025205
-2.296159,9,18118.857132
-1.888553,8,18154.26366
-2.346639,9,18200.794293
-2.276089,8,18246.325726
-0.171087,1,18252.679458
-2.689948,8,18297.149211
-2.317213,9,18347.063122
-2.65789,8,18390.585455
-1.993944,6,18427.966118
-3.586693,9,18467.165354
-2.415186,9,18503.917103
-2.003889,8,18536.345923
-4.153479,9,18579.190094
-3.360236,9,18618.084649
-2.790417,8,18659.645364
-3.07046,9,18705.440745
-2.373925,8,18748.706893
-2.645692,8,18782.900058
-2.403975,8,18817.209121
-2.1247,8,18858.940502
-3.086035,10,18906.4714
-2.031806,8,18948.722721
-2.549123,9,18992.593205
-3.535152,9,19037.028209
-2.208594,8,19080.100763
-2.204653,9,19118.851281
-3.191547,10,19161.620552
-2.594613,8,19205.907191
-2.045213,8,19241.802279
-2.055105,8,19284.741305
-2.560299,8,19328.497527
-2.957273,9,19378.28458
-2.221631,8,19423.440367
-2.340246,9,19462.285985
-2.955674,8,19500.231472
-2.065996,8,19543.169965
-2.57974,8,19587.063929
-2.07737,8,19630.276587
-2.678458,8,19668.815754
-2.799706,8,19707.718358
-2.077392,8,19752.049008
-2.221777,9,19800.238343
-2.100474,8,19846.221627
-2.112089,8,19891.161549
-3.110942,8,19930.046371
-2.558713,8,19977.404175
-2.391219,9,20018.572134
-2.20106,8,20065.522155
-2.197159,8,20113.51832
-2.273168,9,20162.623428
-2.701486,8,20201.571731
-2.148595,8,20240.30509
-2.265012,8,20288.279414
-2.552563,8,20336.411624
-2.629363,9,20386.370784
-2.1757,8,20433.786601
-2.250219,8,20482.026581
-2.486186,9,20532.052637
-2.972584,8,20572.984231
-2.714246,8,20623.44747
-2.521764,8,20671.205149
-2.196815,8,20718.981719
-2.30615,8,20768.131663
-2.830077,9,20818.609753
-2.079536,7,20862.294995
-2.210591,8,20909.906868
-2.668622,9,20959.180564
-2.210436,8,21005.664815
-3.084588,8,21048.168422
-2.591581,8,21094.24041
-3.213941,9,21142.46032
-2.208712,8,21187.244278
-2.669781,9,21235.541721
-2.345403,8,21283.859422
-2.213219,8,21323.226204
-2.219607,8,21369.623198
-2.75313,8,21409.043563
-2.219681,8,21455.652399
-2.719143,8,21504.011866
-3.770171,10,21551.947981
-2.22425,8,21596.339253
-2.220493,8,21637.364304
-2.289555,8,21687.832478
-2.48338,8,21737.80941
-2.64806,9,21782.894837
-2.305904,8,21831.421425
-2.223302,8,21879.506447
-2.257952,7,21924.585121
-2.223212,8,21972.393977
-2.224211,8,22012.318511
-2.224227,8,22051.966376
-2.518626,9,22104.278982
-2.230722,8,22151.327314
-2.338643,8,22193.945448
-2.361824,8,22243.481037
-2.295163,8,22293.141548
-2.230582,8,22342.548342
-2.378103,9,22395.678646
-2.323302,8,22445.330045
-2.569027,8,22493.849815
-2.376591,8,22535.566533
-2.243521,8,22584.549912
-2.547896,9,22632.772406
-2.249332,8,22686.008889
-2.311443,8,22741.234086
-2.404171,9,22887.536962
-2.658163,9,25176.173329
-2.264277,8,26772.95102
-0.194814,1,26799.848809
