#{"t_start": 1554824364.5806243, "env_id": "Baxter-v0"}
r,l,t
-16.754465,28,269.530629
-0.71138,1,281.756028
-6.977825,17,410.661832
-4.125322,8,488.098409
-6.693093,19,625.013586
-8.639047,21,775.15651
-6.104774,14,891.131838
-5.384724,11,982.648812
-6.250235,19,1118.474946
-3.299437,9,1200.018955
-17.199714,30,1383.076404
-0.666271,1,1395.677376
-10.297643,18,1535.882806
-6.580687,14,1647.623404
-0.419557,1,1658.358292
-7.77313,24,1821.788132
-4.565856,10,1905.948814
-0.553747,1,1916.685596
-6.233014,14,2013.981065
-5.207607,13,2107.835434
-3.965888,9,2187.481563
-0.350131,1,2198.766178
-14.052374,34,2416.546008
-3.182556,7,2486.381488
-5.601756,13,2588.145336
-16.63289,37,2825.097105
-9.41785,24,2993.622583
-0.250438,1,3005.985836
-10.094978,23,3170.96794
-3.533925,10,3255.542659
-3.018389,7,3327.416997
-6.186921,16,3448.46819
-3.02565,7,3519.516781
-0.397602,1,3530.792424
-12.224758,34,3738.718165
-4.958014,10,3827.871172
-9.732615,24,3991.439521
-7.293741,15,4106.900413
-7.278783,16,4226.208513
-7.376522,14,4335.306837
-15.386948,30,4514.985459
-6.424376,17,4639.233347
-13.066496,30,4785.101059
-6.692771,17,4910.395398
-5.300917,14,5015.393735
-5.822861,14,5122.018159
-2.518453,6,5185.558873
-15.582594,28,5362.141988
-7.169866,13,5464.872386
-11.68006,21,5611.264278
-9.328276,32,5809.529478
-5.398196,14,5916.829324
-5.421223,12,6013.060917
-7.774585,18,6124.210431
-7.585505,15,6233.947971
-11.884334,24,6395.491369
-6.933684,14,6503.86114
-3.905115,9,6585.179888
-4.595257,10,6668.946151
-6.581982,19,6800.292881
-4.503457,12,6890.404371
-14.035881,27,7032.810466
-15.259847,35,7251.005116
-5.936274,21,7395.733518
-5.976922,12,7492.002486
-8.718285,23,7647.746385
-5.67624,13,7735.475499
-15.401629,30,7946.347273
-4.452365,9,8029.317234
-7.523239,18,8145.121801
-4.014175,10,8231.708062
-3.53308,9,8312.594923
-0.341457,1,8326.754922
-0.35736,1,8341.842428
-15.668254,26,8514.272733
-8.710284,22,8671.3896
-4.160597,9,8753.416803
-0.451575,1,8764.92635
-0.498012,1,8772.641809
-4.000233,13,8874.731865
-10.087349,24,9037.079165
-3.803151,10,9108.964046
-4.768545,20,9248.485872
-12.484977,45,9526.326505
-0.17287,1,9537.794662
-8.923496,17,9665.594381
-5.603451,17,9791.187907
-8.395318,20,9934.459191
-5.677088,12,10016.438098
-5.308337,11,10114.220214
-5.557281,11,10207.173534
-8.509042,24,10370.657048
-5.42622,11,10461.725746
-4.514686,10,10557.913008
-6.228011,15,10675.865194
-12.562751,27,10852.345017
-14.431893,31,11052.5128
-9.959195,19,11189.068693
-14.521636,27,11366.295754
-5.164249,12,11449.891903
-4.441057,10,11535.147671
-7.678095,15,11653.106018
-3.457294,11,11744.333201
-6.498575,17,11870.167254
-5.764814,15,11984.681097
-4.370568,11,12078.43078
-5.73911,11,12169.976192
-6.388937,12,12268.310766
-0.547181,1,12279.106236
-11.563884,20,12425.24336
-12.689896,28,12610.862359
-10.967193,26,12786.217656
-0.404066,1,12797.772785
-3.595986,9,12880.905
-4.652259,13,12985.363219
-9.314491,21,13105.345001
-9.326493,22,13263.828509
-5.805666,15,13378.160268
-10.297498,23,13538.27717
-4.995672,11,13628.895084
-0.394322,1,13640.288075
-3.641028,11,13732.642173
-7.899124,16,13852.773431
-0.446869,1,13865.435599
-6.376643,14,13976.904384
-10.806133,19,14118.673276
-4.496756,11,14195.604053
-3.813722,10,14284.647042
-2.659779,6,14348.331395
-44.003806,101,14540.985784
-4.887922,13,14643.234514
-3.920375,13,14745.494838
-5.658443,13,14848.881015
-10.991559,22,14999.768331
-4.823812,13,15101.62045
-9.029342,27,15277.254852
-5.982014,17,15402.917682
-8.298211,16,15523.814054
-14.645994,26,15681.731753
-3.267946,9,15763.218157
-6.907665,15,15877.62192
-6.938766,17,16007.689535
-4.033671,10,16094.987154
-10.442526,19,16215.481411
-3.573718,10,16300.799348
-4.215969,9,16383.585817
-9.111573,25,16546.345232
-6.868236,19,16677.758656
-0.387456,1,16690.705058
-5.993531,15,16812.657835
-9.365728,16,16924.599633
-3.999471,12,17024.096347
-3.366312,11,17117.738214
-0.19846,1,17129.341311
-4.79491,12,17233.922612
-0.406105,1,17245.770127
-8.393022,16,17378.044109
-4.3003,10,17466.421052
-6.026469,13,17578.321175
-5.563907,14,17691.959211
-5.048324,10,17778.09184
-4.492182,11,17877.169088
-4.508192,10,17972.510134
-5.616388,12,18073.065249
-0.432739,1,18085.867657
-4.542028,14,18199.704261
-6.049136,15,18318.699172
-0.452299,1,18331.860997
-4.400155,11,18413.703657
-3.518543,10,18499.086358
-6.971771,23,18662.103029
-4.504626,10,18753.985091
-6.397528,14,18869.689621
-5.217139,14,18974.43253
-7.416876,16,19097.288424
-4.369898,10,19190.314349
-4.055743,12,19287.352271
-3.014512,8,19369.371603
-3.315075,11,19462.278408
-3.219069,9,19540.247953
-0.355575,1,19552.56343
-2.926844,9,19635.052579
-4.16434,10,19723.060851
-3.512496,11,19815.436949
-6.303225,14,19924.332196
-4.521603,12,20022.42288
-4.041287,9,20105.021278
-0.354919,1,20115.933898
-4.287687,10,20203.270052
-3.271024,11,20295.946422
-4.754082,11,20392.470642
-5.065453,10,20480.572754
-3.882095,9,20562.758727
-3.936659,10,20650.429045
-3.316393,10,20740.878004
-6.864819,15,20856.449626
-2.86529,8,20931.330234
-5.249939,13,21037.173797
-0.303592,1,21048.386281
-4.940226,11,21141.735098
-4.243163,11,21234.705638
-0.300779,1,21245.270226
-10.119414,21,21395.575211
-8.09093,28,21570.337756
-3.221467,8,21645.553559
-3.556482,10,21732.35025
-3.987222,9,21816.32165
-2.379743,8,21890.323575
-3.491751,10,21976.34463
-3.056362,9,22056.487104
-2.520723,8,22131.767819
