#{"t_start": 1554418962.2975473, "env_id": "Baxter-v0"}
r,l,t
-3.373947,17,90.746583
-5.742291,24,183.003184
-1.585546,8,227.3656
-4.841857,25,321.570158
-2.804568,12,369.546901
-3.201536,13,429.545491
-3.38688,16,497.926349
-5.633167,19,571.261559
-4.221154,18,642.887498
-6.983701,25,729.318676
-4.228251,21,804.381566
-2.493581,10,846.522255
-4.695276,22,933.795951
-6.591643,38,1058.225454
-0.718803,4,1090.499809
-5.565411,22,1177.466375
-2.517623,16,1243.257389
-2.153989,11,1297.224509
-5.326766,22,1383.262761
-3.816711,17,1448.91113
-3.278025,17,1513.897671
-2.004071,8,1549.405921
-2.076114,10,1591.495428
-7.368188,28,1689.530364
-10.237726,33,1812.838008
-2.636097,16,1882.707315
-3.801142,13,1944.137458
-5.231495,30,2052.886209
-2.573279,16,2115.761403
-5.010455,40,2249.155993
-3.877606,23,2327.259723
-3.433066,21,2397.534168
-0.797963,5,2422.348609
-3.269758,13,2470.583606
-2.483092,15,2522.749851
-2.399914,15,2579.40672
-0.196473,1,2585.428615
-0.94651,6,2612.92887
-2.461396,13,2657.721328
-0.947954,8,2696.34796
-3.791266,18,2756.325635
-3.884002,21,2823.614025
-2.350548,12,2871.206338
-5.816313,24,2956.624382
-3.115827,13,3008.892551
-5.36463,19,3075.545516
-4.097297,19,3141.319076
-1.603754,11,3187.355696
-2.842809,22,3264.546673
-4.278739,24,3345.656985
-4.758384,26,3430.145269
-3.533073,19,3491.603078
-2.005299,12,3537.232787
-6.147155,27,3613.014203
-4.357607,23,3686.358562
-1.292165,8,3724.288348
-2.403731,12,3763.858104
-4.045645,15,3819.645459
-5.222411,22,3893.475718
-5.940806,24,3968.061942
-2.299788,13,4018.510032
-3.798888,17,4079.441806
-3.794609,22,4146.64088
-5.489494,22,4222.16959
-4.405394,21,4287.921895
-1.818223,11,4334.377767
-4.950167,20,4406.816033
-19.383103,62,4581.390185
-1.069241,6,4608.861999
-2.644026,16,4666.434249
-2.766131,11,4711.113002
-6.805058,24,4790.72726
-2.878079,13,4845.262016
-2.563868,15,4905.734383
-4.877986,20,4980.410638
-5.188946,25,5071.789504
-4.34481,16,5124.516631
-2.909534,9,5165.557958
-5.354553,28,5255.489703
-3.702042,25,5340.348923
-4.881883,18,5405.856013
-3.519036,15,5457.293622
-3.731743,10,5498.169617
-5.279869,19,5562.972488
-4.155799,18,5629.088542
-6.924216,29,5722.91496
-3.889286,15,5781.158141
-2.184771,7,5816.542055
-11.213249,35,5910.218042
-5.572492,25,5990.563791
-4.6408,15,6047.698208
-1.330934,6,6080.458184
-4.912225,14,6126.668458
-3.782212,16,6187.83396
-1.681429,8,6225.800899
-3.68961,13,6277.218077
-13.25021,40,6394.406235
-4.563024,21,6468.310558
-16.426192,36,6581.996763
-1.584302,9,6623.967106
-6.600374,24,6697.394885
-2.058912,11,6739.69693
-3.893589,13,6790.711701
-3.343589,11,6838.202692
-6.227486,26,6918.500174
-3.684976,20,6981.036294
-1.200052,7,7012.445355
-7.220359,34,7122.265115
-11.193484,37,7232.027281
-4.78975,25,7311.586404
-8.313717,30,7389.631654
-3.925851,15,7441.001813
-3.973358,13,7487.29846
-2.090837,13,7542.767382
-2.783851,13,7589.403994
-2.984545,12,7637.438832
-4.484699,15,7690.182905
-8.116939,36,7804.807762
-2.024362,10,7843.168754
-8.067066,34,7947.011002
-6.774034,20,8005.687041
-2.728031,8,8037.962099
-3.942431,12,8080.842632
-10.069553,33,8176.843045
-6.186408,20,8248.176724
-2.727538,10,8291.186125
-2.858509,13,8346.446223
-7.228295,21,8416.449517
-20.327527,56,8576.62964
-7.574361,22,8650.0955
-10.842585,30,8742.337403
-5.43071,20,8814.552876
-4.444788,16,8870.050376
-3.619757,10,8913.717112
-10.013099,28,9006.571075
-6.702648,21,9070.874875
-2.624224,11,9110.521583
-3.184402,18,9171.44685
-3.218239,17,9235.229892
-3.874264,15,9292.138641
-2.404709,13,9343.093434
-5.572583,16,9403.560658
-4.554851,14,9457.357916
-9.0015,29,9551.972889
-5.302041,14,9598.795576
-5.051072,20,9667.608929
-8.180124,24,9743.412116
-4.54902,21,9817.678692
-4.188003,21,9888.085451
-3.223684,12,9937.582784
-9.89562,27,10013.980425
-8.343794,27,10098.755566
-5.268017,21,10171.508214
-1.706452,6,10206.098466
-4.23641,23,10292.112113
-10.843939,30,10393.400616
-6.964669,22,10472.787321
-6.327447,17,10537.427003
-2.961218,10,10577.715031
-7.482748,21,10646.569667
-6.515071,22,10724.043965
-8.801259,29,10822.342495
-2.743769,8,10861.489132
-5.691493,13,10914.824374
-11.143001,25,10993.673445
-2.622825,10,11037.864467
-4.730892,13,11090.518861
-6.125472,22,11169.313746
-2.940231,8,11208.097635
-4.416061,11,11256.923593
-7.662588,19,11325.533079
-3.37085,10,11371.013586
-7.800275,23,11446.765517
-9.477657,24,11531.674433
-15.080885,38,11644.292197
-4.126774,13,11698.30557
-6.195199,18,11756.648609
-4.463892,14,11806.469259
-6.651004,19,11875.383303
-4.664238,12,11926.14927
-2.697078,8,11958.589614
-5.141829,16,12020.808684
-3.452235,16,12083.551263
-47.260111,101,12142.767639
-4.034042,11,12190.424098
-6.828035,18,12257.940639
-5.050753,12,12311.955085
-7.399512,28,12409.063998
-7.678707,18,12472.131712
-9.475702,26,12557.961204
-11.903101,26,12645.683933
