#{"t_start": 1552173659.5318956, "env_id": "Baxter-v0"}
r,l,t
-3.726734,17,88.912669
-4.330168,24,181.857286
-5.249636,19,257.664976
-2.421433,14,326.967185
-6.289819,20,413.698071
-6.359601,27,514.620005
-8.707487,32,636.483062
-14.56635,52,748.868349
-3.170025,20,826.251475
-2.606889,12,886.533513
-23.001977,60,1090.721997
-3.125774,12,1143.01179
-4.58032,22,1220.789871
-4.105045,12,1268.477488
-0.432407,1,1276.241707
-1.794682,11,1322.735111
-2.862467,11,1370.218235
-1.213024,10,1417.246058
-5.376715,21,1495.912474
-2.66522,16,1557.700954
-2.737675,15,1621.719487
-8.344516,25,1701.305506
-5.983787,20,1779.040278
-1.982015,11,1830.890876
-9.028956,35,1963.49104
-4.955002,18,2041.723547
-2.180826,12,2100.624452
-15.642244,46,2228.159028
-10.813268,50,2407.474179
-4.894673,22,2495.107364
-2.372471,16,2567.343796
-1.920062,9,2613.73149
-3.622104,15,2683.713819
-7.749301,28,2786.499704
-6.474635,32,2901.525423
-1.790235,7,2943.759192
-3.615362,21,3029.120492
-3.927448,25,3138.115551
-4.238258,18,3208.614919
-6.663087,23,3296.604043
-7.16045,23,3366.892128
-3.488404,13,3418.036413
-2.868805,12,3471.04968
-2.57836,9,3517.514748
-3.011129,14,3579.061515
-4.546214,20,3659.093607
-5.017228,19,3729.659542
-3.830475,14,3783.043913
-7.379809,24,3874.727386
-2.895592,10,3924.580695
-6.749102,15,3981.385236
-5.195401,17,4051.619414
-9.458486,31,4148.731013
-4.037985,14,4200.755825
-43.08787,101,4282.202391
-7.523031,19,4351.444219
-4.125049,15,4405.743753
-16.295955,43,4548.965561
-2.948257,9,4591.49578
-14.381929,50,4754.808708
-7.785197,26,4864.965602
-2.930829,8,4908.815741
-5.463336,21,4987.950723
-9.708753,30,5065.975095
-2.560692,11,5119.577191
-5.762308,23,5207.13803
-7.706176,20,5310.616215
-5.208798,22,5421.03116
-6.525948,16,5502.380198
-15.523433,37,5658.039439
-9.015657,24,5776.887069
-8.047732,22,5876.276512
-3.441628,11,5946.065009
-3.779877,10,6009.217984
-11.652363,32,6157.933584
-0.522467,1,6164.90865
-6.166691,27,6300.447686
-5.358536,29,6434.477312
-8.811182,20,6544.496062
-3.845223,11,6609.90402
-0.299022,1,6617.67231
-1.998083,7,6671.097582
-0.238175,1,6679.625113
-4.329813,15,6761.585992
