#{"t_start": 1554735917.6554792, "env_id": "Baxter-v0"}
r,l,t
-11.49473,29,166.538178
-10.62499,23,280.953165
-8.307034,29,421.94658
-0.248624,1,431.962956
-5.590698,16,520.552319
-12.136236,24,646.064958
-9.190201,22,777.679079
-10.609444,21,892.247977
-5.577133,14,985.677219
-0.34634,1,997.716355
-7.198105,23,1114.474254
-6.860514,17,1213.846279
-4.936852,13,1297.823828
-11.946437,21,1424.857187
-14.93171,30,1611.6325
-5.710959,17,1732.791231
-19.291983,38,1930.03468
-5.041005,12,2012.684343
-9.945781,22,2176.03949
-10.432482,25,2363.379812
-13.398977,26,2544.675779
-9.04379,20,2645.042886
-11.01781,24,2755.354526
-6.329249,16,2830.18991
-12.846494,20,2927.259602
-9.134448,18,3023.346904
-11.217136,32,3178.630025
-7.274331,16,3263.336547
-5.361625,14,3346.153259
-5.377109,12,3440.784236
-0.432584,1,3449.796764
-6.218356,13,3558.241099
-7.329215,20,3686.99425
-11.700143,23,3821.655137
-3.725209,13,3901.124924
-11.801105,30,4050.864739
-7.086225,25,4185.880632
-4.124889,11,4266.196125
-4.111631,12,4343.748728
-4.119031,13,4431.987846
-16.433712,26,4573.823986
-4.755228,10,4643.650508
-8.898523,22,4755.114144
-0.305763,1,4763.808451
-0.356819,1,4769.396577
-0.305253,1,4775.592089
-7.440101,18,4874.716421
-10.130152,36,5056.125837
-4.941527,14,5253.168619
-6.080008,16,5393.574996
-0.433886,1,5412.36091
-22.024171,56,5583.309999
-7.19519,17,5719.919764
-5.238746,14,5829.418738
-11.979443,27,6001.788822
-6.411203,14,6112.997581
-0.45947,1,6125.301251
-4.217837,14,6231.962649
-6.532093,18,6348.948399
-4.34499,12,6444.55038
-5.737603,13,6542.950499
-8.60351,19,6677.844046
-0.412857,1,6689.970719
-9.977033,23,6845.483236
-8.531233,23,6999.734453
-0.326201,1,7010.108711
-5.656421,16,7126.530552
-6.79088,18,7254.169625
-0.322276,1,7267.594451
-5.886081,19,7392.465304
-11.651963,26,7559.60124
-8.51053,18,7690.33798
-4.92791,10,7773.472258
-7.353453,17,7896.587175
-6.331891,16,8008.948025
-8.751949,22,8155.138521
-4.515354,15,8261.726273
-0.213885,1,8275.766123
-4.868125,14,8373.870604
-5.636377,15,8458.326941
-5.439699,18,8556.254827
-7.152944,19,8656.100635
-3.407865,10,8718.864936
-13.550277,39,8879.509744
-6.270714,30,9005.976264
-4.704624,11,9062.48403
-5.959468,16,9143.31109
-12.724858,22,9240.692407
-9.166636,17,9327.917135
-5.759972,19,9423.193143
-8.649413,20,9516.435671
-5.502092,17,9599.072104
-3.463169,9,9654.849428
-2.500678,7,9705.770931
-6.32647,21,9807.713778
-6.916741,16,9892.124763
-9.798301,32,10032.465717
-8.413881,24,10143.239801
-5.240438,14,10219.053395
-3.036727,7,10269.413149
-7.353173,17,10358.181218
-6.147415,24,10475.157386
-11.643253,31,10617.842324
-7.135099,14,10686.525658
-8.168226,28,10815.947079
-4.157301,9,10873.31202
-12.443179,33,11017.278013
-7.329124,16,11102.276462
-6.266788,19,11199.778753
-12.025836,24,11322.777821
-7.720986,19,11422.633834
-4.811723,12,11491.36178
-5.712892,16,11579.446401
-8.628101,31,11720.09819
-7.065529,21,11829.865517
-3.093588,8,11887.686532
-18.99272,42,12041.396661
-5.289235,14,12126.939374
-11.347491,25,12254.038536
-2.883632,14,12332.808428
-6.174968,14,12408.734923
-6.443205,16,12495.52197
-8.852304,23,12605.417194
-4.853263,15,12683.678236
-12.385601,26,12807.28583
-9.437727,21,12912.733743
-3.26865,9,12970.305664
-18.764731,35,13094.314533
-6.015599,19,13188.990484
-1.853274,5,13230.697599
-3.662818,9,13287.599805
-6.135856,20,13384.177038
-4.176562,12,13451.72279
-7.62998,16,13537.903764
-5.142899,10,13597.152489
-9.57939,18,13688.76567
-5.096288,12,13759.527642
-0.415337,1,13768.769306
-5.541253,19,13864.018994
-3.889424,13,13935.147917
-6.47424,17,14019.303449
-6.613405,13,14091.676423
-6.810305,17,14182.686068
-5.741344,14,14260.819112
-5.312313,13,14327.708263
-6.481002,18,14416.728264
-6.291981,15,14498.885031
-13.750792,37,14658.084635
-4.409967,12,14728.448512
-5.987217,15,14811.031244
-2.653015,7,14862.103019
-7.371447,16,14947.049617
-11.352637,33,15094.271857
-4.360945,17,15183.255131
-9.028105,23,15287.1084
-9.263484,33,15431.006364
-7.248595,24,15546.294276
-2.101564,6,15592.647125
-0.308297,1,15602.469119
-5.569455,12,15662.66833
-0.462786,1,15672.09041
-3.345809,12,15731.689121
-2.878795,8,15785.196817
-3.271294,11,15849.994524
-0.2464,1,15858.894631
-13.515688,28,15988.243232
-2.107003,5,16030.64819
-2.426668,8,16081.50646
-0.236852,1,16089.811302
-3.210173,7,16136.899286
-10.694548,23,16248.432994
-2.391481,6,16294.300627
-7.802847,22,16398.505664
-8.793308,20,16499.060826
-3.718778,10,16561.193198
-6.282426,18,16646.854478
-2.214911,7,16697.726271
-5.600922,18,16791.897133
-4.796263,14,16869.564412
-5.124959,15,16949.849571
-5.166388,11,17013.729604
-3.488207,11,17078.666374
-3.344678,8,17131.342915
-0.417146,1,17139.748312
-2.299367,6,17186.69012
-2.159293,5,17230.15635
-3.070961,8,17285.613915
-2.381845,6,17331.25348
-2.332507,6,17377.664061
-5.32503,13,17451.345413
-3.768986,11,17515.35008
-3.035362,8,17562.607373
-1.937626,5,17596.462168
-6.203942,15,17674.362478
-7.844629,21,17780.243306
-2.659056,8,17826.00864
-2.859265,6,17873.381058
-14.982297,38,18042.052474
-3.489611,10,18103.056494
-3.294578,9,18162.303804
-2.525542,7,18212.488216
-0.30094,1,18222.321645
-5.28325,16,18304.670112
-4.528376,11,18367.754585
-2.414946,6,18414.737369
-0.376006,1,18424.716482
-2.055562,5,18466.9331
-0.398518,1,18476.466461
-11.55554,31,18605.861837
-2.159249,5,18649.753813
-2.56209,6,18694.170861
-2.085826,6,18738.306677
-2.159213,5,18780.676156
-14.73533,35,18888.928031
-1.967747,5,18933.666467
-1.657945,4,18972.712337
-2.280449,5,19015.388135
-0.464835,1,19024.039517
-11.511498,27,19153.090472
-3.148493,9,19210.950213
-1.657916,4,19249.298963
-2.057608,5,19291.771106
-2.358484,6,19338.551417
-4.249772,10,19402.526463
-3.939713,10,19464.578664
-2.597041,6,19509.62257
-2.071666,6,19546.246547
-2.055274,5,19588.935221
-2.065973,5,19632.059296
-1.658017,4,19671.935373
-2.055434,5,19714.98057
-8.620729,20,19806.820918
-2.250684,6,19844.879903
-1.658,4,19884.200377
-0.40666,1,19893.637287
-3.124778,8,19946.207563
-9.700265,23,20055.222837
-4.168113,9,20112.949814
-3.668671,9,20170.450179
-2.057706,5,20214.126998
-1.66814,4,20245.153236
-2.541245,8,20299.906614
-1.96777,5,20341.636779
-2.737474,6,20388.982273
-2.344355,5,20430.213427
-1.967592,5,20472.940519
-2.15883,5,20515.240483
-2.861459,7,20564.40018
-0.347309,1,20572.514108
-2.130385,5,20616.270476
-1.657802,4,20656.05963
-2.158965,5,20699.306252
-3.124606,9,20749.862524
-1.657915,4,20789.094671
