#{"t_start": 1554012966.2535565, "env_id": "Baxter-v0"}
r,l,t
-4.727484,17,98.331186
-0.233065,1,105.934407
-6.045307,33,254.303234
-7.173067,33,410.76107
-8.075898,30,554.361089
-2.391633,11,624.518822
-5.161881,18,725.046213
-3.335307,23,844.455209
-3.070967,14,927.574511
-4.026784,19,1033.507786
-4.414502,23,1152.609207
-7.143107,27,1278.735711
-1.352395,8,1331.624931
-0.089827,1,1342.218042
-1.647876,7,1391.434564
-5.678299,24,1504.833431
-6.340775,22,1597.058568
-11.089936,36,1732.311199
-4.216831,24,1852.979752
-1.514742,10,1920.134463
-4.836381,20,2019.34655
-5.456245,30,2158.50333
-11.358206,34,2324.589844
-2.056065,11,2385.171088
-6.729158,25,2504.980297
-2.356421,12,2578.75146
-5.242729,18,2671.418466
-4.524366,21,2784.703507
-3.387309,14,2855.259365
-3.197988,16,2939.728152
-10.047507,48,3121.107565
-2.99942,14,3184.660063
-2.489297,10,3234.595898
-4.762517,18,3310.363352
-8.36276,28,3415.045716
-2.94341,17,3485.690836
-7.766099,22,3570.606827
-3.387349,13,3630.752484
-5.684942,19,3687.998247
-2.016497,10,3735.535554
-3.626841,13,3792.249811
-2.961602,12,3846.250859
-5.100421,22,3926.101168
-4.375927,24,4015.381939
-5.031996,23,4100.676864
-12.457629,32,4214.515055
-6.475177,32,4326.262499
-3.654755,15,4391.165188
-2.467092,11,4437.161733
-12.676642,58,4621.922552
-2.814379,17,4687.763585
-6.892971,21,4770.98407
-4.208338,22,4854.709267
-2.733509,15,4913.193739
-4.60051,19,4980.134716
-7.934044,28,5069.362262
-7.489157,24,5151.207076
-13.297654,39,5285.678518
-1.981776,9,5330.209635
-11.902336,26,5418.471015
-6.189591,20,5489.024038
-3.719592,14,5542.592891
-2.623006,12,5587.585404
-7.839446,26,5673.578694
-2.659257,15,5738.467062
-4.92886,17,5807.213084
-4.391973,18,5877.730897
-10.439768,25,5963.619122
-3.021534,11,6016.028939
-9.041943,24,6104.409056
-4.495983,19,6176.445223
-6.99517,22,6264.458875
-9.803451,27,6358.014405
-0.933457,4,6388.323055
-13.179936,34,6506.79342
-4.585305,14,6560.738336
-4.701379,21,6632.77281
-2.25757,11,6682.378448
-1.791087,10,6728.513428
-4.346784,13,6785.987089
-9.067931,25,6857.915692
-37.71368,101,6918.209781
-5.076724,15,6981.294733
-3.753321,12,7033.448432
-5.204399,21,7111.876014
-10.522327,47,7264.953664
-6.34125,19,7326.265472
-8.218615,29,7429.560999
-5.062328,19,7502.570051
-2.966185,9,7546.24488
-5.812831,20,7619.16855
-7.820715,31,7726.709357
-14.137852,32,7842.892857
-1.435163,9,7886.877524
-5.891388,15,7942.805479
-7.201006,28,8046.21292
