#{"t_start": 1553982268.9291162, "env_id": "Baxter-v0"}
r,l,t
-0.213052,1,25.985167
-0.244436,1,30.777305
-0.200568,1,36.53967
-9.519613,40,219.164884
-4.133216,15,298.618618
-7.331209,25,411.345572
-2.883867,13,489.960655
-0.947994,6,538.738103
-3.055757,11,609.132303
-5.109662,24,738.882998
-0.923513,6,790.770231
-2.155497,12,872.331076
-3.667545,15,988.798234
-3.242346,13,1101.202301
-4.508605,17,1212.687347
-1.647649,12,1295.766038
-1.012115,7,1338.483236
-3.446747,13,1415.69675
-3.464991,16,1499.708257
-1.933172,9,1557.072383
-7.365887,25,1674.24423
-6.685645,31,1812.333566
-3.533187,20,1911.799639
-4.510759,25,2037.428882
-1.50324,7,2079.720675
-3.009853,20,2180.434569
-2.169269,15,2263.7826
-3.154828,16,2350.420023
-4.890166,16,2423.144453
-8.519822,34,2580.357551
-2.363952,14,2655.187904
-2.947926,16,2733.513679
-5.30817,23,2825.401917
-5.412022,29,2961.58077
-0.235303,1,2970.62059
-3.865948,17,3059.829541
-0.23763,1,3067.717475
-2.170888,10,3127.550097
-11.769909,37,3269.247573
-15.102956,60,3470.710442
-5.750524,16,3545.466465
-5.612606,23,3655.807514
-4.179978,17,3744.394331
-2.545338,15,3825.39607
-4.381019,20,3913.845634
-4.430953,20,3989.041615
-2.56017,11,4044.209798
-2.797094,11,4093.106305
-1.612225,11,4143.290478
-1.353829,9,4190.855194
-1.409093,7,4225.077623
-11.479457,34,4344.835251
-1.799064,10,4395.323562
-3.605082,15,4460.008259
-5.510995,17,4527.731538
-3.49533,13,4585.51361
-5.80942,25,4695.403902
-7.591509,28,4799.534909
-9.616655,29,4908.054405
-1.66796,8,4944.093976
-13.075088,38,5099.72858
-3.36624,12,5163.506591
-7.562444,23,5261.140076
-5.535244,15,5337.112918
-1.376546,6,5369.838194
-7.97962,23,5463.55006
-0.327231,1,5497.919509
-5.381589,18,5574.354616
-1.542303,6,5612.527113
-7.764371,22,5691.764301
-2.946339,11,5737.62071
-2.425496,10,5790.654856
-5.093471,16,5852.16649
-5.08569,17,5924.601009
-3.475061,10,5973.553398
-3.650391,16,6040.585691
-7.442825,23,6125.313704
-3.890203,18,6200.103479
-20.896312,43,6356.988069
-11.555957,26,6445.098703
-7.423802,32,6561.815762
-11.392926,25,6650.849569
-8.908888,22,6743.135054
-9.644033,39,6890.435037
-5.257661,23,6981.233804
-5.821667,23,7071.033228
-7.23471,26,7161.222644
-12.388473,33,7257.454951
-9.033833,30,7370.41316
-4.794137,17,7433.826668
-8.222638,25,7522.274581
-5.601033,20,7602.999472
