#{"t_start": 1553567548.5954885, "env_id": "Baxter-v0"}
r,l,t
-6.753656,21,127.549107
-0.320398,1,136.81741
-4.548919,17,238.785919
-5.891121,17,333.68106
-6.383269,21,442.327907
-3.523624,12,517.427111
-5.070346,22,633.849005
-4.51054,15,721.91971
-1.56798,9,782.250047
-5.211358,14,857.295722
-2.429481,9,906.007241
-3.857056,10,962.116768
-5.238855,15,1047.643681
-5.063497,17,1115.807135
-3.022714,20,1195.657568
-5.259147,14,1257.744474
-5.02913,17,1324.467471
-8.835978,24,1410.288684
-10.584627,38,1548.166081
-5.191895,18,1626.464895
-11.98721,25,1719.126469
-4.390141,17,1792.4754
-2.198809,9,1842.173526
-2.257781,8,1880.875448
-3.970108,12,1932.163559
-4.973828,18,2010.654191
-2.281812,12,2061.819671
-4.691533,19,2138.740722
-6.006686,17,2210.227293
-5.619786,25,2303.227781
-2.49406,9,2350.22724
-7.334365,19,2431.328079
-7.746207,19,2511.785233
-3.091385,12,2566.29956
-2.303113,9,2611.965165
-24.085413,56,2777.965393
-3.666834,11,2829.48993
-2.693082,11,2874.483785
-6.177783,23,2957.763511
-1.564515,6,2994.938606
-4.698424,16,3053.874052
-6.781019,16,3121.711995
-2.021452,10,3171.509825
-3.961837,13,3229.165645
-7.445195,25,3322.288967
-4.686698,15,3380.209843
-4.554588,16,3450.031873
-2.739206,12,3505.46712
-2.311007,9,3551.749468
-6.372382,19,3627.850364
-8.359639,29,3734.011351
-5.008531,18,3808.131002
-3.516261,9,3848.848785
-3.969202,13,3910.72341
-5.184845,16,3978.122839
-2.826941,9,4023.042176
-2.418646,9,4065.914997
-10.11385,20,4139.235183
-3.813777,13,4184.928768
-7.870152,23,4266.43116
-3.625466,18,4332.039447
-6.610945,18,4393.060027
-7.491564,22,4467.554918
-15.056495,35,4574.019873
-5.76641,16,4629.441139
-2.588159,9,4666.638982
-4.765099,17,4731.39844
-5.912189,14,4780.988686
-7.708384,28,4867.409658
-41.873404,101,4941.410353
-7.757449,26,5024.970024
-42.464226,101,5090.08542
-4.981263,18,5157.396863
-7.137512,25,5239.707806
-4.062218,12,5285.94428
-8.61768,29,5380.379785
-7.375277,19,5448.713128
-13.18071,46,5576.929522
-8.795429,27,5661.928832
-6.885795,20,5735.11298
-2.704986,10,5780.507433
-3.003683,11,5828.529785
-8.224104,34,5937.138505
-7.230426,21,5999.008128
-12.783154,29,6092.342266
-3.995948,14,6137.77491
-7.957635,32,6233.994479
-6.623229,30,6328.636003
-6.337034,17,6391.692911
-5.616322,14,6444.001603
-3.499497,10,6488.203482
-4.358406,21,6561.712366
-2.649929,12,6611.567478
-2.707208,10,6650.156277
-7.106074,26,6734.11452
-4.020189,14,6791.352954
-3.715384,10,6829.789649
-9.301095,20,6895.494219
-5.627035,16,6952.266055
-5.868848,20,7022.671371
-7.122519,17,7089.880324
-4.924912,17,7156.310634
-16.199039,61,7329.976965
-5.830857,13,7387.593177
-8.108037,26,7471.738298
-9.459036,22,7554.272183
-5.323477,14,7612.451306
-3.779193,12,7665.907812
-3.466887,14,7729.409958
-4.77324,13,7788.173093
-4.677449,17,7855.637967
-2.75236,14,7914.231586
-2.879926,16,7977.597659
-2.811912,9,8021.291193
-8.05757,27,8117.635993
-4.258804,15,8175.891248
-4.872272,15,8232.079173
-4.668469,12,8280.592014
-3.320681,14,8334.691536
-4.814184,13,8384.531658
-6.235046,22,8461.675026
-6.614166,16,8525.543223
-4.660596,11,8575.495224
-10.850254,25,8666.692794
-3.776945,10,8712.831169
-6.405727,18,8778.684301
-9.143251,19,8853.310998
-4.174146,11,8896.1213
-6.190432,18,8963.52493
-2.997159,9,9007.138769
-7.257569,20,9083.790988
-5.082755,21,9160.464621
-2.535161,7,9199.90872
-4.807779,14,9257.121439
-3.618356,11,9298.467919
-51.263127,101,9341.167963
-4.952068,13,9401.537797
-2.577287,12,9448.799201
-3.532639,10,9488.574744
-4.546962,26,9581.199468
-4.183915,10,9628.530665
-4.2833,10,9675.029429
-4.446148,11,9724.962152
-8.652801,22,9803.333858
-4.519729,13,9851.739332
-5.275155,12,9904.653168
-19.732622,39,9991.597753
-3.391302,9,10026.727049
-2.94992,8,10066.711702
-3.855574,11,10117.165882
-7.052152,16,10173.857446
-4.968627,28,10269.771904
-12.008065,29,10346.414193
-10.267326,25,10430.646644
-4.362173,10,10469.442397
-2.94824,11,10513.213877
-6.203079,13,10566.393539
-2.877607,10,10612.35067
-2.8543,10,10659.221352
-2.380758,7,10697.398293
-1.783621,9,10735.047378
-3.436933,9,10778.755675
-8.847711,29,10875.479874
-4.105524,11,10918.982763
-4.773114,11,10968.220932
-2.349115,8,11009.818435
-3.838189,11,11052.945471
-6.345287,18,11122.0541
-3.306139,10,11161.586143
-4.24618,17,11219.35617
-4.495495,15,11279.666481
-3.090335,8,11320.080896
-3.834781,12,11372.87509
-7.244663,16,11429.633586
-10.625821,29,11522.824461
-6.3113,21,11601.131522
-3.970455,11,11648.231877
-3.2939,11,11689.166568
-2.274764,8,11724.603095
-3.09438,9,11763.549345
-4.942743,11,11810.675341
-3.563926,12,11862.845137
-5.631341,13,11914.550454
-4.961357,25,12002.269942
-3.552447,11,12052.796876
-2.594512,10,12093.24535
-2.962904,9,12131.66729
-3.026122,11,12181.223109
-2.736062,8,12220.859992
-7.757003,25,12299.430179
-3.49753,10,12339.86485
-5.616032,15,12401.495958
-4.269994,11,12450.431058
-4.121415,12,12503.53258
-2.78355,8,12542.831243
-2.998124,9,12587.387831
