#{"t_start": 1554080484.078236, "env_id": "Baxter-v0"}
r,l,t
-1.119211,9,81.353553
-1.631465,11,140.990674
-0.033931,1,151.396614
-0.042186,1,160.13125
-1.929314,13,239.562355
-2.141041,10,305.166469
-1.747373,8,351.714274
-4.985836,22,495.402412
-7.549068,28,669.855341
-1.131368,7,726.02296
-7.841728,31,863.960759
-12.322177,35,1048.866556
-3.615802,18,1152.952755
-0.870602,7,1207.878853
-1.655877,8,1268.142476
-4.71771,22,1393.392787
-7.741424,32,1539.867755
-5.870474,25,1650.88561
-2.278177,9,1701.550545
-0.166991,1,1709.400878
-2.179447,10,1770.782158
-0.229152,1,1778.605835
-0.236474,1,1785.902424
-2.813735,14,1863.073513
-1.898018,11,1928.562235
-11.0069,46,2129.274022
-6.147879,22,2238.29805
-4.978689,17,2317.216977
-14.048992,50,2525.80928
-0.539329,1,2533.884776
-5.123737,20,2634.663795
-4.308287,18,2714.548676
-5.954922,26,2825.804451
-4.717385,16,2901.063358
-2.473579,20,2974.642806
-3.177269,12,3025.36225
-29.989268,101,3130.91237
-3.290607,13,3183.351734
-3.13045,17,3248.591571
-19.02212,54,3425.648628
-1.433137,9,3473.226048
-2.667081,19,3551.259184
-1.451242,7,3593.092755
-7.267447,28,3683.788919
-5.391581,18,3751.063618
-8.906896,26,3856.848689
-2.161947,11,3911.017874
-1.683689,10,3955.965961
-1.923919,9,4000.913224
-9.16932,29,4108.762953
-4.964068,18,4178.764143
-2.596477,11,4225.151406
-0.732374,4,4256.378169
-2.294653,12,4305.595599
-1.568737,8,4350.585788
-3.597856,16,4421.959628
-4.497936,19,4495.281656
-3.861705,17,4569.006559
-2.240605,13,4628.797125
-1.183952,7,4668.686932
-5.462449,30,4780.067582
-2.410288,12,4828.509901
-1.880597,8,4874.150145
-3.440168,12,4933.388487
-8.205343,39,5076.578739
-4.588112,17,5144.887044
-3.880455,21,5235.733169
-2.247039,14,5293.358887
-4.75685,25,5395.740855
-1.745422,10,5444.828461
-1.917217,8,5480.475288
-2.328602,10,5529.867121
-3.613481,13,5589.844755
-2.60163,14,5645.373899
-9.111574,33,5759.524168
-8.033757,33,5871.770636
-12.733456,33,5972.533005
-1.966481,12,6023.497846
-5.183157,24,6115.294497
-0.179072,1,6121.45925
-2.333254,10,6175.102559
-2.535038,10,6227.62483
-6.859135,19,6315.640666
-4.675526,15,6386.150072
-3.775799,18,6458.584107
-4.790741,16,6525.119984
-1.531917,7,6568.96878
-3.259664,11,6627.256261
-6.253255,25,6724.646383
-1.566797,7,6770.250917
-2.573856,13,6829.447163
-2.550604,9,6870.732518
-11.853574,37,7010.228542
-5.460247,22,7099.860516
-3.299894,14,7167.09458
-2.643118,8,7213.146632
-8.412143,28,7324.153326
-2.90642,14,7381.044493
-10.089569,35,7521.599278
-0.945315,4,7556.051579
-3.458182,16,7619.838829
-3.241156,21,7710.20834
-6.810358,21,7797.653197
-7.157741,31,7914.048392
-4.075099,16,7984.289687
-1.271964,8,8024.721074
-1.390404,6,8066.025514
-2.604668,12,8127.478879
-4.680429,15,8195.110208
-1.145816,5,8231.81141
-2.948484,13,8302.445757
-2.315838,11,8374.926991
-2.881681,10,8425.626467
-7.954741,22,8527.299674
-1.780576,9,8579.547047
-5.140708,15,8651.572569
-3.889386,19,8737.605851
-11.598235,28,8859.526133
-3.005526,16,8941.75424
-4.506362,23,9054.703453
-4.24988,24,9147.291593
-4.74292,16,9221.40403
-47.287328,101,9284.403957
-4.16852,18,9358.068289
-3.414914,10,9411.446735
-2.437688,10,9464.888757
-5.426831,18,9544.251502
-18.356034,44,9681.739586
-3.669954,13,9742.259729
-5.355072,17,9807.363267
-10.087631,44,9963.566247
-6.863111,19,10046.281394
-2.460243,10,10098.428248
-11.134265,26,10211.688004
-3.060641,16,10287.82783
-5.060259,22,10377.888952
-9.935761,30,10488.961647
-5.105627,21,10567.073101
-7.502356,23,10651.795366
-5.333582,29,10772.201728
-13.629236,30,10914.148402
-6.112785,19,11014.051625
-9.062471,31,11163.843314
-4.059899,16,11251.023224
-11.874272,31,11413.104856
-10.599176,26,11565.913172
-5.435616,16,11673.825962
-5.06874,17,11780.060941
-6.362114,24,11924.672539
-6.300844,19,12049.835582
-5.572902,16,12152.660086
-2.752055,9,12222.94306
-7.840921,27,12368.035573
-9.386583,27,12481.761928
-3.171438,9,12536.19345
-2.985064,9,12593.200555
-7.138979,17,12678.61682
-8.767781,24,12788.481748
-2.653738,8,12837.926825
-3.297708,9,12892.784094
-3.667525,11,12954.72576
-2.135201,7,12995.423654
-3.636921,11,13060.395287
-4.787886,12,13132.088507
-4.275561,16,13214.644872
-8.919292,35,13355.764029
-3.575052,14,13429.194352
-9.645249,22,13530.334985
-4.355091,18,13606.169994
-4.551588,11,13656.450626
-7.307383,17,13731.732
-2.040578,7,13773.700483
-4.171641,18,13848.105216
-5.58593,21,13927.169205
-5.03518,16,13988.243484
-6.050348,22,14074.397228
-5.741418,20,14146.674637
-3.06609,14,14209.457637
-5.543703,23,14296.276421
-2.311787,8,14338.146484
-43.059365,101,14405.857838
-5.177117,12,14463.528963
-12.841454,43,14610.724007
-6.242109,16,14682.232177
-5.196393,19,14757.470928
-4.87491,11,14808.924122
-10.422669,27,14908.882341
-5.217581,19,14986.398062
-7.161489,18,15057.22455
-5.082463,15,15115.317759
-6.147536,22,15191.851419
-6.834625,23,15273.438354
-3.014895,10,15324.572232
-2.994635,10,15374.295277
-7.754249,18,15448.170296
-7.581999,25,15533.094791
-6.008734,18,15607.01911
-7.874407,24,15699.197845
-3.968047,21,15781.330738
-9.487198,26,15880.195854
-13.656898,28,15976.727004
-6.304835,20,16057.120292
