#{"t_start": 1552754767.8580232, "env_id": "Baxter-v0"}
r,l,t
-4.636106,22,248.506702
-1.662524,9,373.984736
-3.668631,17,562.95722
-1.394625,9,684.012326
-5.234168,20,888.891228
-2.760413,17,1080.321914
-4.143291,14,1238.639457
-1.80745,10,1360.318472
-7.002806,25,1634.8201
-5.341566,22,1873.436142
-5.674353,33,2236.881011
-8.321926,37,2694.10902
-1.902767,8,2824.853657
-10.03135,29,3140.472809
-2.424343,9,3283.531236
-5.954002,22,3549.051646
-5.001591,24,3837.043621
-4.362561,21,4093.630791
-2.2276,13,4238.579579
-5.838093,23,4466.647083
-4.349449,29,4741.404365
-3.798551,12,4879.48285
-3.328385,22,5095.26745
-2.156118,14,5265.497737
-15.010402,38,5672.199957
-4.206035,15,5862.311032
-5.425356,25,6145.073461
-14.561568,35,6483.00006
-3.873548,20,6704.004382
-2.628995,14,6875.193249
-8.780596,20,7098.096428
-9.283622,26,7356.144171
-5.523808,20,7559.280952
-6.603252,21,7772.983403
-7.714093,23,7996.323343
-5.463273,19,8161.930876
-1.925419,8,8266.402182
-5.523178,21,8487.499424
-4.424234,15,8632.782989
-11.843132,30,8857.302866
-3.546649,15,9013.792869
-10.60195,29,9275.531345
-4.473901,18,9452.456208
-1.619324,7,9545.500114
-7.294682,32,9824.90266
-5.526524,26,10063.470692
-3.482404,14,10208.828882
-2.521879,8,10310.183343
-24.978838,65,10819.792297
-16.623191,41,11186.789823
-4.574958,13,11333.120924
-6.039632,16,11509.67782
-8.578555,45,11910.790934
-3.855345,12,12043.616262
-3.988604,18,12221.503551
-3.635341,12,12356.544474
-6.284984,16,12515.743378
-7.25474,18,12696.963952
-6.279593,23,12918.022111
-6.690276,17,13090.364608
-5.96678,16,13256.331054
-5.7258,18,13437.380834
-6.061378,20,13629.65309
-16.356047,49,14000.584736
-8.049269,21,14210.016607
-3.17368,11,14329.882783
-3.590381,16,14495.43698
-4.761922,15,14649.768065
-8.052085,22,14871.067846
-3.28019,9,14983.711786
-6.280007,21,15189.703474
-4.264333,15,15350.156424
-4.679931,14,15494.169992
-2.287868,10,15613.032447
-13.721638,46,15985.648803
-7.089118,20,16171.714426
-5.97758,16,16342.654684
-4.992122,16,16509.940311
-0.370583,1,16530.873815
-4.189262,13,16673.128937
-10.141768,28,16933.465953
-7.721208,26,17184.067564
-11.088205,25,17428.538174
-42.321105,101,17616.965132
-12.119381,30,17905.31025
-8.90336,32,18202.332698
-7.027048,20,18392.30543
-13.3906,39,18741.041096
-4.517643,12,18873.004579
-4.764354,21,19071.110585
-4.261152,13,19215.831368
-3.988238,10,19317.746854
-8.699597,32,19620.410655
-3.84697,12,19765.51566
-6.436718,17,19952.763061
-6.956856,20,20155.564897
-6.67719,18,20354.517781
-5.448614,22,20557.263052
-5.886635,17,20744.793871
-4.794098,12,20882.960388
-1.425289,5,20962.983857
-3.512511,10,21085.328317
-5.190734,14,21235.921772
-2.621923,8,21339.103938
-2.231438,8,21441.101674
-7.569745,24,21664.3431
-5.727705,22,21882.116421
-11.264284,24,22119.711108
-2.71786,9,22238.225634
-7.774621,18,22389.639408
-11.865579,32,22697.432718
-5.440598,15,22860.95624
-11.044861,23,23107.116887
-2.441418,9,23221.377967
-8.992227,24,23440.63924
-2.482796,7,23538.583389
-4.399507,12,23676.865869
-4.816297,14,23838.191155
-5.055473,17,24025.105231
-3.540727,9,24142.068217
-6.410915,18,24334.881055
-2.891847,9,24432.249099
-7.978045,20,24638.053868
-10.123346,32,24917.42456
-4.560261,16,25093.427204
-12.063774,30,25320.173644
-2.913685,9,25430.251683
-4.270718,21,25653.099207
-3.030134,9,25769.575174
-5.678366,18,25965.461733
-7.907682,24,26210.201401
-5.078713,13,26363.940342
-5.927159,16,26530.802935
-8.21229,24,26769.054344
-2.58682,13,26921.583335
-4.923031,16,27086.675585
-8.390624,18,27281.887944
-10.282334,24,27510.657703
-3.099134,8,27617.590629
-4.863956,12,27754.317529
-5.408446,12,27883.395043
-2.956704,9,27993.38014
-5.83636,14,28139.008514
-2.870729,10,28248.177201
-3.822536,10,28370.351218
-4.147468,12,28512.929333
-10.786658,43,28928.382842
-12.827379,26,29180.966399
-3.92177,8,29309.264323
-9.23825,19,29519.434802
-6.028446,17,29725.226992
-4.858322,15,29924.103243
-0.250989,1,29944.747515
-5.934386,17,30159.035955
-6.419918,15,30349.475899
-5.212817,15,30521.271036
-4.4466,9,30657.794185
