#{"t_start": 1552255505.6063316, "env_id": "Baxter-v0"}
r,l,t
-1.46137,10,60.855731
-2.256913,10,103.217421
-5.02693,31,210.226526
-1.414412,9,249.806345
-2.302404,10,291.792046
-2.809317,20,363.055378
-5.269422,20,434.368943
-36.982685,101,484.334377
-3.384648,19,551.845919
-5.826799,28,637.318304
-2.266349,10,679.841799
-4.136789,15,729.935161
-7.801422,31,815.710511
-7.532893,29,900.7361
-6.514519,21,972.022763
-10.552523,35,1079.267707
-8.742289,30,1173.540891
-3.628212,18,1237.360412
-4.390704,18,1299.183435
-3.874776,12,1350.648367
-11.966763,29,1419.439408
-3.992032,21,1487.798854
-3.612956,14,1539.581303
-3.19827,13,1589.384712
-4.92463,15,1637.821168
-5.206105,19,1695.267973
-14.50539,44,1818.047877
-10.553084,37,1918.16413
-5.62746,19,1986.752088
-3.379893,19,2052.137033
-5.722345,25,2132.293664
-5.385592,21,2199.463477
-6.611182,22,2270.990299
-5.362938,20,2335.012389
-4.737277,27,2423.698746
-4.014007,13,2469.831241
-2.804316,17,2535.199885
-7.50824,23,2611.269759
-6.575388,20,2675.540861
-10.67938,36,2779.383552
-3.276493,13,2829.87582
-3.598195,15,2887.517239
-46.897999,101,2936.640316
-2.867325,16,2997.430602
-4.265279,17,3054.838832
-7.38904,19,3125.682056
-3.218565,17,3186.9311
-8.772583,22,3265.728298
-3.144264,11,3304.559541
-0.3291,1,3310.383484
-42.103877,101,3372.138051
-2.907002,16,3423.157086
-4.370992,15,3478.176141
-5.840766,18,3539.654593
-4.084937,15,3592.931606
-8.572875,25,3677.34248
-4.224637,13,3729.01178
-2.470391,9,3768.171675
-6.492735,17,3825.865396
-2.63535,12,3867.176141
-9.048939,25,3945.108109
-3.144956,12,3993.695883
-42.912639,93,4054.117088
-6.27531,18,4118.86118
-6.816534,23,4197.193935
-6.292552,17,4244.753585
-3.974798,11,4289.758482
-2.810158,15,4347.110143
-10.466899,33,4442.550015
-2.170439,11,4488.810379
-3.484067,11,4534.796567
-8.348073,28,4616.232367
-3.129887,15,4666.079625
-5.772547,17,4726.694377
-6.558795,17,4780.469872
-3.709723,11,4826.051955
-3.579923,11,4870.260559
-2.64392,10,4911.798889
-5.468481,17,4967.088634
-2.875087,9,4999.678681
-3.733247,17,5055.452679
-4.004648,15,5110.987561
-5.523804,16,5168.835819
-4.085967,12,5215.823826
-3.763314,12,5264.99955
-3.483496,14,5318.903093
-4.317862,19,5404.658638
-2.813404,9,5454.988751
-4.989866,23,5553.033697
-2.966599,12,5614.189793
-6.476929,16,5683.872683
-2.929672,10,5737.307409
-4.627897,15,5809.686226
-3.652344,15,5879.14999
-3.476418,11,5939.440865
-3.471471,12,6000.615116
-6.193611,19,6087.840002
-5.587976,16,6163.488231
-3.662105,12,6224.31104
-3.680216,12,6285.696309
-2.9628,9,6334.846735
-3.218423,10,6385.377169
-4.365749,15,6455.421989
-4.592758,12,6516.340796
-3.618896,10,6562.243211
-7.751244,20,6647.037706
-1.694747,9,6695.773737
-0.489142,4,6715.498339
-2.507371,9,6757.504925
-2.780286,11,6812.566318
-3.486936,11,6866.962579
-3.099794,11,6922.951871
-3.644973,13,6986.786768
-4.815946,15,7048.586044
-2.656418,10,7100.30318
-4.269103,11,7157.207858
-3.393211,12,7215.953908
-3.746,13,7279.218746
-2.832583,11,7336.196669
-2.961393,11,7391.995465
-5.103093,17,7468.771318
-3.809344,14,7534.82378
-3.437785,13,7597.242652
-0.143339,1,7604.236481
-3.292732,12,7662.089622
-2.446552,9,7709.993551
-2.401937,10,7764.259584
-2.056781,10,7820.674567
-1.825456,8,7870.682785
-7.414788,24,7974.407638
-4.848675,14,8041.327806
-3.371927,11,8099.119384
-2.15111,9,8149.407082
-3.447797,12,8211.651298
-3.320816,11,8269.066797
-2.629706,11,8329.860672
-6.601084,14,8398.081105
-3.209162,14,8466.147604
-0.133647,1,8472.974074
-4.443224,14,8534.964102
-2.409535,12,8597.859213
-3.366608,15,8668.256605
-3.168248,10,8723.967898
-3.313838,10,8777.720951
-2.960367,11,8834.660612
-3.581262,14,8904.023796
-2.331965,10,8959.627461
-1.871863,8,9010.834473
-0.136191,1,9017.612563
-2.485518,9,9066.949105
-1.818179,7,9109.267076
-2.129623,7,9155.337648
-2.852253,10,9211.329696
-2.337904,10,9267.973292
-3.443069,9,9318.73232
-2.412116,8,9364.531863
-1.836742,7,9407.267888
-3.30107,11,9465.373836
-2.529472,9,9515.762176
-2.979967,10,9567.352656
-2.432068,8,9616.607936
-2.858297,11,9674.398019
-3.159218,8,9720.706749
-4.057081,11,9775.822492
-4.460428,11,9824.815558
-3.058877,9,9874.327315
-2.748461,8,9920.625565
-3.449665,10,9966.005775
-2.054708,8,10012.335855
-2.090333,9,10054.485109
-2.639868,7,10097.240288
-2.956966,10,10150.571101
-3.347425,8,10197.513967
-2.233577,10,10251.986254
-2.452238,9,10301.730928
-1.956306,8,10349.104299
-2.182152,8,10388.330364
-2.686912,12,10438.459629
-2.166998,8,10477.822674
-2.134512,10,10518.38406
-2.391166,9,10557.792863
-3.312431,10,10600.894115
-2.28759,7,10637.476346
-2.644073,8,10676.190856
-2.258843,8,10715.312129
-2.687941,9,10756.023324
-2.320273,8,10787.202842
-2.787906,11,10828.960511
-2.125589,8,10859.650745
-2.051247,8,10897.507621
-2.045629,8,10929.572114
-2.77858,9,10970.142067
-2.53522,9,11004.936203
-2.758848,8,11043.192037
-2.325947,9,11078.092052
-2.840416,9,11117.88138
-2.115921,9,11158.670852
-2.40724,11,11199.695649
-2.612672,9,11235.074607
-2.047926,9,11276.662913
-2.185531,8,11315.567458
-1.84257,7,11345.869645
-2.251096,7,11375.339778
-2.071986,8,11412.771756
-2.900472,10,11450.602662
-2.480813,8,11488.29618
-2.278115,9,11528.912342
-2.165487,7,11564.806866
-2.165425,7,11600.426023
-2.899298,9,11641.648492
-1.873568,7,11677.602239
-2.347013,9,11717.019464
-2.886036,9,11756.876889
-1.873438,7,11791.817597
-2.167288,7,11820.435752
-1.85683,7,11850.473919
-2.937856,8,11888.264404
-2.078444,8,11919.653829
-0.20941,1,11925.697782
-1.880488,7,11954.431168
-1.706171,6,11986.423793
-2.007614,8,12019.83483
-2.250515,7,12055.351992
-2.196401,7,12085.028969
-1.896295,7,12114.739789
-1.875772,7,12151.538712
-2.785605,9,12192.052456
-3.64711,12,12240.414699
-1.896083,7,12269.610554
-2.589765,9,12314.509454
-2.256142,7,12358.525103
-2.128241,9,12408.232535
-2.406138,7,12451.78862
-2.58902,10,12505.787182
-0.227862,1,12513.307058
