#{"t_start": 1554492291.0872033, "env_id": "Baxter-v0"}
r,l,t
-6.408022,33,132.035205
-1.321155,10,183.558819
-1.786357,10,229.41399
-4.71772,25,315.785369
-5.696962,26,405.09213
-18.758402,51,568.754581
-13.088462,36,691.911924
-2.843522,15,749.499568
-4.383537,20,818.510988
-5.308965,29,918.359719
-3.517203,20,999.457815
-2.250833,16,1064.822491
-6.926731,29,1170.972406
-4.065416,21,1243.831919
-5.544708,21,1316.744238
-1.757815,9,1362.689017
-2.934574,18,1431.595268
-4.150516,18,1503.504165
-1.144246,6,1542.271013
-1.689307,10,1589.376375
-1.694361,10,1634.648798
-1.749241,9,1675.721328
-2.342305,12,1724.406256
-2.972926,14,1778.687244
-8.182514,32,1897.73844
-6.407995,21,1983.083329
-5.979598,19,2061.128244
-9.844813,39,2152.685938
-4.598774,23,2234.593801
-3.835072,18,2308.568656
-2.742056,17,2382.956365
-4.841508,18,2454.848166
-1.889741,13,2507.005355
-16.536595,55,2595.823598
-3.082167,17,2665.869136
-7.862042,30,2760.488934
-5.269794,22,2836.137421
-2.800923,11,2877.43534
-6.896733,24,2953.259672
-4.348476,20,3018.092929
-3.616168,19,3090.222425
-2.613648,13,3140.373765
-11.617787,29,3239.344187
-4.796675,16,3302.301496
-11.192729,31,3396.265666
-5.466082,19,3463.414307
-2.651026,9,3505.585934
-3.32231,14,3561.93475
-0.277044,1,3567.388662
-2.625417,14,3617.083747
-4.738814,16,3678.570945
-5.395589,21,3743.29641
-4.583438,18,3806.068846
-24.380259,56,3949.503222
-6.534119,19,4014.16956
-2.270216,10,4053.025975
-5.85238,18,4109.334535
-2.786788,11,4146.459618
-5.050542,19,4207.463618
-35.440286,101,4281.321815
-26.636564,101,4367.67158
-3.537669,13,4420.796955
-5.895579,22,4495.437469
-6.560491,26,4578.80673
-6.504314,27,4658.7554
-6.395235,32,4760.426732
-3.50783,21,4837.979566
-3.714796,15,4896.26763
-2.996402,14,4948.354429
-13.015113,33,5055.316267
-5.087814,15,5112.18645
-3.192384,14,5158.008976
-5.268826,22,5233.596184
-4.416194,16,5292.192508
-8.203479,40,5418.043572
-5.002336,23,5486.481392
-3.0245,11,5523.053689
-7.240148,19,5585.515332
-5.935082,21,5643.738692
-4.040043,18,5703.752656
-8.8396,21,5774.286948
-3.648432,13,5817.187281
-4.516825,16,5875.368443
-3.799404,15,5926.281108
-5.434783,24,6014.083506
-4.539174,15,6077.346675
-10.577047,22,6154.64741
-5.502563,18,6220.015727
-7.149928,32,6320.495177
-4.136558,16,6374.790797
-2.359529,9,6416.372766
-5.2575,14,6473.080495
-4.609832,19,6533.72534
-5.264294,14,6588.663647
-2.8795,9,6623.408594
-2.701747,14,6675.63085
-5.556709,17,6741.899481
-3.626427,20,6815.757872
-2.569849,9,6858.855578
-0.300859,1,6864.049452
-6.125167,18,6929.663596
-8.119324,28,7015.689174
-4.671155,13,7068.732692
-5.545628,22,7138.010761
-3.945313,10,7180.874466
-2.837775,10,7218.193852
-7.049119,15,7274.049987
-45.239328,101,7325.314808
-30.625225,68,7466.515112
-3.858588,13,7517.523469
-4.590289,16,7581.862393
-3.199386,11,7629.361081
-3.083114,16,7686.417142
-5.645521,16,7746.918776
-6.287047,23,7821.720546
-3.129458,12,7869.717187
-4.495597,15,7923.457854
-4.883704,16,7971.037978
-3.040844,9,8003.103886
-5.113066,18,8060.157581
-3.91558,15,8113.331973
-10.859755,33,8176.97474
-2.430467,9,8218.433545
-5.97797,22,8289.832088
-4.840269,17,8351.849235
-2.471422,12,8394.317903
-4.226274,10,8437.743905
-2.96786,9,8479.795614
-8.712385,17,8544.279243
-2.114851,8,8583.534261
-4.503817,15,8639.481999
-8.322936,21,8707.668171
-4.117304,13,8759.620345
-6.910441,16,8818.979417
-6.236204,14,8871.63859
