#{"t_start": 1553901836.7862792, "env_id": "Baxter-v0"}
r,l,t
-2.312829,13,231.036859
-2.647842,14,286.479824
-4.697762,21,361.674041
-4.041388,17,424.926786
-1.359769,8,465.502483
-15.148865,60,613.297992
-1.538571,6,647.925244
-2.919969,10,690.70795
-3.510923,15,742.832553
-2.111049,11,782.901151
-4.138598,23,861.117184
-4.151444,19,924.742058
-3.208825,15,982.691648
-1.299588,6,1016.405614
-4.142235,20,1088.052598
-2.101065,10,1131.283805
-2.809329,12,1174.884895
-1.724384,9,1209.886973
-3.178805,11,1256.730757
-1.73698,10,1301.123803
-3.238916,15,1356.772117
-5.380075,21,1429.429856
-1.969434,14,1485.7864
-3.832443,20,1554.522488
-2.200141,12,1606.625388
-2.958475,14,1659.011119
-2.737868,13,1711.738016
-4.187259,19,1777.232878
-0.974752,7,1812.458977
-1.136709,9,1849.634565
-3.401749,17,1912.323453
-1.362566,7,1942.073893
-3.20219,13,1993.029292
-2.446473,16,2050.015083
-1.281977,8,2090.761252
-0.876195,5,2120.88809
-1.840678,11,2162.114164
-2.382472,12,2210.150049
-1.720279,9,2249.914585
-1.434648,7,2284.441257
-3.274482,11,2325.145654
-1.16561,7,2357.314207
-2.508734,11,2403.13934
-1.462689,8,2441.698929
-4.194553,19,2511.9356
-2.71751,16,2570.483288
-2.443313,10,2615.849203
-1.372284,9,2651.697948
-0.988448,5,2682.488062
-1.05716,6,2709.257328
-1.856258,9,2748.350599
-2.498974,12,2788.6437
-1.67912,10,2830.135172
-1.387728,8,2866.862944
-1.407787,10,2908.777869
-2.070419,12,2955.880898
-1.115713,7,2991.196494
-2.266123,12,3038.008865
-1.171916,5,3070.191394
-2.248173,11,3114.791666
-2.953772,10,3153.411312
-2.55454,12,3197.673353
-1.197785,5,3227.305088
-1.092561,5,3255.948828
-1.947859,8,3292.593796
-2.4111,13,3333.264559
-4.72822,15,3386.076353
-1.251403,5,3417.752737
-2.362455,11,3464.633329
-2.880539,18,3618.796334
-2.273824,10,3678.74834
-1.239919,5,3726.786729
-2.434854,12,3791.174503
-5.111392,18,3906.381926
-0.27202,1,3919.173177
-1.113017,4,3962.295462
-3.264355,18,4067.140936
-2.195488,9,4124.926143
-2.326973,12,4197.783467
-1.459592,5,4240.638262
-1.35957,5,4281.601795
-1.834664,6,4326.647043
-0.324683,1,4336.064509
-0.311842,1,4345.141374
-2.595346,12,4410.178113
-1.888694,6,4462.827368
-1.354875,5,4503.318852
-1.222359,4,4540.295646
-1.693384,6,4585.321941
-2.309934,8,4636.828824
-1.678029,6,4680.499343
-2.990686,12,4749.330728
-1.741337,7,4797.134951
-1.444957,5,4836.539649
-2.881706,9,4890.923166
-1.271574,4,4919.330236
-1.263965,4,4954.828294
-1.263975,4,4991.420733
-2.528731,9,5042.580153
-1.278631,4,5078.581756
-1.278407,4,5114.108045
-1.278413,4,5149.810198
-2.094593,7,5195.146161
-1.757174,6,5236.757615
-1.497735,5,5275.414842
-1.438783,5,5313.303715
-0.311214,1,5320.570797
-1.278431,4,5354.776518
-2.264634,9,5407.390675
-1.710791,7,5451.706026
-3.076914,12,5514.365619
-1.309344,4,5542.439358
-1.616133,6,5575.139133
-0.238561,1,5584.135687
