#{"t_start": 1554685342.1267204, "env_id": "Baxter-v0"}
r,l,t
-4.32071,25,269.056755
-2.805916,14,406.86307
-3.29618,16,546.619133
-0.26575,1,564.324306
-8.374608,35,771.589849
-4.082391,19,879.705513
-7.948939,33,1036.208471
-0.215333,1,1046.799151
-0.998463,7,1091.352254
-1.64672,11,1152.72823
-0.95364,8,1208.478297
-5.106148,23,1331.780319
-4.504123,16,1411.358354
-2.49054,14,1496.502735
-0.409227,3,1513.611428
-3.08411,17,1604.799621
-1.531953,11,1668.595581
-1.616983,9,1726.990816
-2.592506,16,1814.741106
-2.092445,14,1891.881375
-4.017345,23,2004.656663
-0.200131,1,2013.519659
-4.401918,26,2143.753117
-2.981276,14,2208.595768
-43.448772,101,2288.254368
-12.912432,37,2413.259435
-6.429075,25,2513.930815
-3.473014,20,2595.712677
-4.106621,16,2657.294527
-0.881124,6,2694.550363
-1.604888,8,2737.235123
-9.237008,35,2856.818407
-7.740731,32,2973.958289
-5.983198,25,3061.832807
-1.207334,6,3099.448617
-8.705078,29,3195.908296
-4.778127,15,3262.936079
-6.036099,21,3344.452381
-4.916486,19,3423.599921
-4.634717,22,3503.04902
-2.212752,10,3547.119221
-3.166253,18,3626.218899
-1.49167,10,3670.936439
-2.870545,18,3747.035371
-9.306619,26,3841.970816
-2.979738,10,3890.05511
-5.146934,18,3959.368065
-1.352796,7,3998.201812
-1.885385,8,4032.385715
-3.133987,16,4090.138437
-2.635537,12,4137.826023
-2.412893,12,4193.07703
-3.200749,15,4256.922033
-3.681333,18,4325.496993
-4.278189,20,4403.932355
-7.737037,30,4486.434978
-5.52048,24,4575.662587
-3.157926,18,4645.387771
-2.275925,11,4695.677188
-6.699425,27,4788.05865
-3.95427,18,4860.672529
-1.929139,12,4914.455333
-5.068376,19,4991.028372
-7.781317,26,5085.803892
-3.271605,19,5157.128521
-5.875113,32,5269.609455
-6.28107,27,5371.139731
-12.998209,38,5493.90053
-11.638343,33,5604.207868
-7.193778,22,5691.005268
-4.773416,20,5770.586744
-2.818351,16,5842.977346
-2.913553,13,5902.291367
-5.375303,19,5971.376657
-5.308228,19,6039.294462
-3.766541,16,6104.446022
-6.411648,23,6193.584419
-2.266138,13,6245.591496
-5.416837,15,6309.335175
-1.825855,12,6361.153548
-2.341137,12,6416.614393
-3.909422,17,6478.311121
-9.727666,23,6567.729345
-1.674141,7,6600.468357
-4.871722,18,6672.84575
-2.164415,14,6732.015121
-2.126248,11,6780.383502
-2.44983,11,6833.599451
-2.557076,11,6891.522563
-1.777962,10,6942.890172
-5.829823,19,7021.32948
-8.519487,41,7172.735631
-4.971076,29,7276.132139
-0.144265,1,7283.855818
-2.395354,11,7327.172282
-4.737768,20,7406.122149
-3.8605,26,7499.785655
-1.944776,11,7546.112894
-3.971066,13,7598.75729
-5.901533,19,7670.629161
-9.096346,30,7775.314275
-5.303939,19,7854.247556
-11.191858,27,7940.672468
-2.788362,14,7993.687318
-2.429031,9,8044.674791
-2.75989,12,8097.33337
-2.94513,14,8153.865702
-2.865989,13,8212.068101
-3.483758,16,8271.839411
-6.151357,33,8393.799185
-6.890062,23,8475.178192
-3.575681,12,8528.028844
-2.937779,13,8576.719919
-3.004734,14,8632.560092
-10.185875,34,8713.331502
-5.621698,15,8775.505046
-9.666599,37,8916.974869
-6.704889,25,9009.994508
-3.312847,9,9054.871688
-2.774146,10,9106.575159
-2.681637,12,9157.636646
-2.450629,11,9216.74984
-1.709924,10,9264.201673
-3.793571,13,9329.781677
-5.508612,15,9415.713928
-1.485872,8,9481.447419
-3.891563,12,9553.031137
-7.26991,18,9667.022647
-0.392133,1,9678.715161
-3.877167,19,9789.911379
-5.534653,18,9910.126877
-12.064633,31,10121.466106
-2.777631,10,10206.542279
-1.669037,7,10292.432754
-5.558522,16,10429.422222
-4.973795,23,10603.023145
-1.74092,7,10680.875064
-2.134824,11,10778.348545
-2.181208,8,10858.193527
-3.108426,10,10947.170408
-2.97677,16,11071.622404
-5.649883,22,11237.303549
-4.786749,15,11356.684582
-2.288052,9,11438.656762
-3.64644,16,11559.393722
-0.179901,1,11572.311006
-7.790546,26,11745.698514
-3.938271,26,11917.050593
-3.839502,13,12025.448988
-4.373708,20,12149.274699
-2.885904,18,12248.443982
-5.192862,19,12351.967577
-3.97111,19,12459.303883
-4.081604,19,12560.889878
-1.245614,5,12607.139518
-3.555165,12,12685.408062
-2.216666,9,12747.369528
-1.518701,6,12800.64731
-6.275582,18,12902.065965
-8.03212,32,13060.72429
-6.378837,21,13172.387577
