#{"t_start": 1552454263.8232453, "env_id": "Baxter-v0"}
r,l,t
-7.141046,25,165.683763
-5.253557,24,296.741823
-2.214376,12,380.814316
-0.088985,1,389.401408
-4.920517,18,500.538489
-8.472349,30,655.360345
-2.365326,12,736.95622
-6.011095,28,876.286358
-2.870339,10,947.256093
-2.420467,10,1015.571442
-1.192983,9,1087.408127
-4.344111,20,1199.226228
-3.372912,11,1271.94131
-2.069281,12,1346.939591
-1.606134,11,1419.305097
-2.468448,17,1521.580047
-4.228734,26,1649.85572
-4.962324,25,1787.044566
-5.428832,16,1885.735202
-1.812916,12,1963.470992
-1.286195,8,2006.17034
-0.210181,1,2016.692525
-1.183518,6,2068.137906
-0.229398,1,2078.428947
-2.634327,12,2153.99361
-6.284834,21,2272.748393
-0.340186,1,2282.369469
-5.735671,27,2427.168769
-7.287916,31,2575.790051
-0.220688,1,2587.269664
-2.41415,9,2653.536933
-6.95231,22,2779.799135
-0.331041,1,2783.130598
-4.799,16,2886.723035
-2.20989,9,2955.844991
-9.919959,38,3151.817291
-5.139034,20,3265.776735
-12.069254,33,3432.396247
-4.415879,16,3524.406688
-3.402416,13,3613.786186
-4.909572,18,3718.570715
-36.370303,101,3816.640668
-6.213617,22,3938.95405
-3.428289,14,4023.191452
-2.471226,10,4089.153368
-0.239806,1,4098.332304
-16.651988,42,4310.358264
-10.896334,34,4488.681279
-2.834385,13,4569.459942
-0.529272,3,4586.189395
-4.080457,22,4705.262254
-7.18765,23,4825.510046
-2.646327,10,4892.955393
-0.270081,1,4903.529776
-0.313176,1,4910.626326
-5.425396,17,5019.713324
-4.027998,14,5110.431607
-2.631853,10,5180.342366
-7.163571,29,5339.04941
-4.921979,17,5436.518563
-6.536982,19,5538.55549
-5.339334,15,5608.955279
-1.638661,9,5668.619397
-4.938527,18,5765.947034
-0.164516,1,5775.187132
-8.240498,22,5888.181638
-7.073064,34,6050.506734
-4.051777,19,6157.236107
-2.274148,11,6229.631035
