#{"t_start": 1554135620.1839821, "env_id": "Baxter-v0"}
r,l,t
-4.324168,24,98.23891
-2.019495,13,150.118062
-27.802499,101,292.302654
-10.045586,45,426.457016
-3.034821,21,497.317218
-2.793264,14,552.052938
-11.499711,49,699.646004
-9.388286,28,779.130481
-8.807834,24,844.582066
-5.508875,21,918.059216
-4.477764,15,974.690512
-3.13608,13,1026.872212
-3.40501,19,1093.860614
-1.280476,9,1134.339775
-3.97157,28,1232.021069
-3.668274,19,1298.458173
-11.079242,30,1387.309848
-38.470182,101,1465.65576
-4.300908,10,1511.454211
-11.429093,26,1587.871395
-2.611662,7,1620.096989
-2.185817,11,1661.666812
-5.980149,15,1720.909881
-3.859164,18,1796.26456
-8.901595,27,1886.678013
-5.26873,21,1957.878755
-7.126914,24,2042.972617
-2.845158,14,2092.238033
-8.179153,22,2164.149343
-6.766221,16,2217.654255
-1.630932,5,2242.372021
-4.942048,22,2317.407604
-5.85606,20,2381.754184
-4.275996,12,2423.817046
-8.023878,26,2504.442687
-3.164121,9,2547.064981
-9.353167,24,2625.808841
-11.135571,27,2707.529039
-2.918271,6,2751.101572
-3.749558,15,2805.018986
-8.246399,19,2875.171734
-4.89613,19,2940.891559
-8.239275,23,3010.67564
-7.715862,29,3102.139374
-3.751277,15,3151.65578
-12.433871,32,3253.24962
-3.606308,11,3298.935269
-13.851056,30,3386.828349
-4.704741,15,3435.572598
-2.230315,7,3471.054829
-3.5852,11,3518.373802
-7.834698,21,3584.398168
-2.86215,15,3633.636824
-4.312727,15,3689.466177
-4.138066,13,3737.648714
-5.188222,18,3798.379357
-6.087312,19,3857.597826
-2.824566,10,3894.883819
-3.728513,15,3946.185018
-3.836261,14,3998.085338
-6.925277,20,4059.724645
-6.155181,15,4111.15105
-2.659806,8,4143.875214
-3.276141,12,4184.545474
-6.569278,20,4249.9102
-10.424761,30,4321.66855
-6.247801,16,4374.112997
-5.553968,17,4432.960492
-10.21508,29,4517.866715
-5.352458,15,4565.92636
-8.806104,28,4652.485702
-2.782418,9,4692.061635
-2.497133,9,4732.155673
-3.073979,10,4773.838326
-22.736306,47,4913.162297
-4.504772,15,4962.255707
-7.505639,15,5012.032927
-11.494959,28,5094.76499
-4.545725,23,5172.589511
-3.483111,11,5216.855338
-7.417007,17,5277.361341
-7.706774,18,5340.590222
-3.842602,12,5382.843947
-8.386858,19,5438.500222
-3.444136,11,5481.521106
-6.385346,14,5527.586215
-4.24284,12,5568.866347
-5.609862,13,5611.522192
-3.994063,13,5656.6442
-4.130778,11,5695.651081
-8.787868,23,5766.984928
-6.629022,16,5823.209314
-8.501954,19,5885.814768
-3.371797,11,5929.418753
-3.897926,14,5977.407569
-6.206169,22,6051.83566
-2.87618,8,6084.225149
-3.836079,9,6119.98844
-5.321652,16,6180.160245
-7.894123,22,6248.30697
-8.140218,16,6296.881877
-4.397711,13,6347.961519
-8.638307,24,6425.821412
-2.943125,13,6480.277046
-3.822682,10,6522.955517
-8.574954,19,6590.77923
-7.798186,18,6657.57478
-8.454021,18,6715.306507
-5.123562,14,6771.272297
-2.323968,7,6806.415074
-3.874653,14,6854.417022
-3.576025,15,6911.443676
-5.175724,13,6958.65599
-4.347909,15,7014.485072
-3.977816,13,7064.294345
-7.925688,27,7153.205637
-5.413759,14,7207.466799
-5.956041,13,7253.549235
-5.765954,15,7306.541397
-6.860855,15,7356.469136
-10.269108,28,7444.909749
-4.391004,13,7490.539781
-2.553338,8,7527.62796
-5.276749,15,7578.109097
-15.308741,31,7672.02793
-7.539167,21,7747.036704
-5.059923,14,7801.22289
-8.207274,22,7869.974931
-4.158023,14,7923.105633
-5.244395,15,7971.923859
-2.947279,8,8010.757626
-7.655402,18,8076.483692
-3.471409,10,8119.357643
-3.890197,13,8163.210025
-6.154,18,8227.046951
-7.68502,17,8280.501404
-7.457161,18,8344.924403
-4.326518,12,8393.956028
-4.202917,11,8438.38254
-2.922335,9,8479.777459
-5.853028,15,8531.068689
-3.945275,12,8572.597248
-6.049364,15,8623.607283
-3.474841,9,8657.080499
-4.578375,20,8719.797693
