#{"t_start": 1552509974.8279428, "env_id": "Baxter-v0"}
r,l,t
-7.379602,16,156.323213
-53.453858,101,342.30657
-50.209379,93,444.582222
-5.207531,13,543.237475
-4.279763,13,643.833136
-13.881286,32,852.341564
-16.02161,41,1108.843037
-5.14327,12,1215.29587
-0.519307,1,1228.827176
-10.254353,21,1382.26437
-0.575627,1,1393.999315
-8.635302,22,1542.624177
-8.058514,26,1699.237177
-13.676767,26,1868.412214
-5.429163,12,1972.918142
-4.43786,10,2066.228757
-8.590634,31,2264.708359
-17.81353,45,2518.031227
-15.012991,33,2710.522549
-7.2147,16,2838.405339
-12.331184,26,3019.473582
-3.726889,10,3105.376983
-4.999159,13,3194.571936
-18.267604,33,3422.662857
-20.453575,35,3606.417819
-9.160467,22,3752.732072
-5.752679,13,3849.628558
-15.759799,34,4045.09989
-13.183345,25,4228.454446
-15.465562,27,4411.169796
-4.092754,11,4495.192519
-4.518775,9,4573.453084
-8.714178,19,4703.91319
-3.460216,9,4785.494568
-3.470041,8,4864.04992
-0.444626,1,4874.950371
-0.480064,1,4882.968186
-6.263222,12,4981.243136
-4.413668,14,5086.43388
-9.897834,18,5204.83255
-4.414992,9,5285.827796
-0.558207,1,5297.497157
-12.949132,27,5459.557609
-0.644376,1,5471.874947
-15.706651,28,5647.361388
-7.796402,18,5770.749858
-5.162292,10,5852.012528
-6.568599,16,5959.645579
-3.442174,14,6069.357129
-10.745422,27,6226.120352
-6.062949,14,6319.934287
-6.906967,20,6453.006124
-3.228725,13,6548.082553
-0.086523,1,6561.621933
-5.105177,10,6639.465967
-7.526872,18,6755.87505
-11.612809,23,6904.463086
-9.923271,26,7062.435722
-0.375604,1,7073.74467
-52.378695,101,7193.170437
-11.501329,22,7323.438642
-5.52771,15,7423.747228
-5.650963,12,7511.646355
-15.052208,26,7635.586289
-14.27256,33,7822.954349
-67.073612,101,8000.022137
-14.603256,34,8191.359824
-5.817306,12,8282.175439
-10.148734,21,8406.738465
-0.382097,1,8417.341677
-6.688592,18,8531.640136
-10.895196,25,8678.934059
-10.184153,21,8803.784096
-6.544421,16,8905.834258
-55.443237,101,9014.319312
-6.760219,16,9123.561933
-17.677145,32,9307.078871
-4.591401,14,9400.473666
-0.251996,1,9411.745195
-7.290725,18,9523.321193
-14.92174,33,9706.339643
-12.018858,25,9856.221559
-7.519985,21,9988.400686
-10.672692,22,10127.937746
-8.121452,15,10236.776042
-0.568467,1,10249.535295
-7.312018,19,10371.455625
-5.832722,15,10472.595958
-10.502222,18,10598.513036
-16.257086,33,10806.218995
-2.808532,6,10868.465649
-4.590535,13,10965.545424
-4.784469,16,11083.445469
-4.271365,12,11175.806577
-7.393079,18,11298.861478
-7.054903,13,11397.771595
-12.606061,25,11559.70221
-5.878438,16,11670.90402
-6.629325,13,11775.010168
-9.054371,22,11920.463333
-0.539335,1,11931.561149
-3.472065,8,12005.953204
-0.451227,1,12019.901688
-0.44891,1,12034.71963
-4.568254,13,12139.632907
-12.696781,33,12333.453321
-6.176909,15,12435.087893
-0.421533,1,12446.315075
-9.891071,35,12650.357764
-0.226482,1,12661.283575
-17.776388,29,12836.748846
-5.224231,15,12944.238014
-5.580171,12,13030.912203
-3.327563,9,13100.489439
-8.299967,15,13200.15276
-5.02286,11,13285.554339
-3.94551,8,13353.620472
-6.139898,12,13441.262249
-7.350278,16,13550.689401
-8.337725,18,13655.062013
-8.76362,18,13770.566414
-6.679769,14,13871.550318
-2.978723,8,13945.197558
-0.386939,1,13954.578267
-0.34299,1,13961.415791
-4.664619,13,14060.185759
-3.747441,12,14149.99945
-11.146087,22,14289.72394
-2.267599,5,14333.137492
-5.307282,13,14428.09333
-3.407992,8,14501.328428
-0.386487,1,14513.61314
-12.547523,29,14682.560132
-4.366965,10,14756.104609
-3.890515,10,14833.319526
-4.58681,12,14925.609658
-4.210723,11,15007.469419
-2.985281,8,15069.897572
-0.35076,1,15080.928182
-6.191379,14,15191.555049
-0.388428,1,15205.596868
-4.982717,14,15310.774784
-4.812971,17,15427.391446
