#{"t_start": 1554903955.9789991, "env_id": "Baxter-v0"}
r,l,t
-4.622209,11,139.045802
-11.341546,28,342.80457
-5.401101,17,486.174236
-7.304432,18,618.184137
-20.042652,38,813.386876
-17.818497,35,1039.068445
-11.733441,29,1213.334919
-6.509096,14,1322.082927
-12.583249,20,1447.461117
-8.470708,22,1594.251177
-10.764874,19,1729.429372
-8.970125,17,1827.664096
-12.715651,25,1988.645832
-10.427836,20,2115.854934
-12.652558,27,2289.84739
-0.501929,1,2300.414675
-7.403749,16,2420.320379
-10.696732,20,2552.719841
-7.903417,16,2653.928113
-11.098367,20,2790.712719
-4.534103,10,2872.924974
-18.078481,33,3026.696509
-9.550644,21,3169.634112
-4.498332,12,3261.933125
-7.045801,14,3355.576574
-4.705962,9,3433.035602
-14.074507,26,3573.026797
-0.535172,1,3585.920182
-25.550034,41,3832.17312
-7.15508,14,3934.560605
-3.643798,10,4015.892492
-8.096598,18,4139.120556
-15.628319,30,4318.285118
-6.167783,13,4414.819871
-4.224254,20,4548.358458
-6.680596,19,4671.455238
-8.359019,20,4801.084767
-0.339215,1,4810.737002
-10.070233,20,4938.192771
-14.535704,29,5118.969003
-5.409225,16,5227.762751
-3.420377,8,5301.539721
-0.37624,1,5314.599074
-0.331294,1,5321.766884
-6.177765,13,5417.717011
-14.058804,35,5633.151323
-20.33294,32,5813.924558
-0.676578,1,5828.545293
-5.160903,15,5937.541581
-5.290405,11,6026.469329
-5.518715,12,6118.815049
-7.356168,18,6241.246317
-14.145581,28,6407.640699
-10.442135,20,6543.111623
-12.303952,31,6732.556695
-8.100521,22,6884.287153
-3.407389,8,6956.422384
-3.228688,7,7022.05386
-13.985595,24,7169.609107
-64.376159,101,7330.428814
-10.704925,16,7355.967674
-5.072008,14,7461.038977
-5.377364,12,7556.183707
-6.34431,15,7657.339256
-5.902036,17,7776.726454
-6.845557,15,7884.072677
-4.697736,15,7989.860816
-6.093934,15,8099.51384
-18.756935,31,8277.283021
-3.620601,7,8345.324826
-7.184709,13,8448.771222
-7.722153,17,8568.304842
-5.853006,12,8660.583111
-0.46828,1,8672.062499
-12.147219,32,8869.792225
-5.881773,14,8976.801769
-0.355679,1,8989.459256
-7.047999,18,9114.502561
-4.230799,10,9200.143848
-7.292524,18,9322.439428
-8.498539,16,9436.913043
-0.587962,1,9449.3931
-6.488678,13,9548.13935
-4.277784,10,9628.335804
-11.489871,30,9813.514598
-6.516075,14,9917.660116
-5.522388,13,10015.584598
-9.051218,20,10145.605172
-5.718089,14,10249.569772
-6.898122,14,10355.279263
-3.558431,15,10465.698643
-5.024729,11,10552.879705
-11.055404,20,10688.798541
-8.842651,18,10813.469031
-6.692093,14,10916.803692
-0.472664,1,10927.419999
-4.81985,15,11030.610463
-5.90292,12,11119.750001
-22.221818,58,11309.192189
-4.479655,11,11392.514834
-7.822291,17,11513.439516
-7.239865,16,11624.740994
-7.91538,18,11750.254386
-6.130181,17,11865.431349
-5.714407,13,11957.403221
-16.382094,28,12099.974489
-3.20891,7,12166.942468
-3.99962,9,12241.763982
-6.31709,19,12369.092155
-7.679044,15,12476.490279
-4.494072,11,12563.292675
-5.643179,14,12667.193869
-6.398394,14,12755.563943
-5.44561,14,12857.480655
-5.547912,11,12944.564334
-8.165576,15,13054.279335
-4.574198,10,13130.900616
-4.985252,11,13218.911575
-5.141107,11,13308.317329
-0.417043,1,13319.35729
-6.567537,12,13407.578802
-5.046701,10,13485.966593
-10.909157,25,13645.765807
-3.178585,8,13716.594614
-6.325543,13,13815.8183
-5.615206,12,13909.122543
-3.639502,9,13985.371506
-6.316185,16,14104.809592
-7.491486,14,14207.093215
-3.723497,7,14273.539347
-5.16868,11,14359.294183
-5.129272,11,14445.946644
-4.093066,9,14521.739347
-10.1904,23,14673.444342
-4.727547,11,14758.402889
-5.441237,12,14853.623756
-5.276803,11,14943.763796
-4.624087,9,15020.19603
-6.399596,14,15125.539058
-0.492198,1,15136.601475
-4.888959,10,15223.798645
-4.855373,10,15309.954242
-3.295047,7,15361.451801
-3.901924,8,15434.88882
-5.057697,11,15526.608675
-4.121785,9,15606.773818
-3.128027,8,15680.552266
-6.783232,13,15778.24556
-0.518068,1,15792.760601
-3.657017,8,15867.126245
-3.324971,9,15946.470212
-4.861044,10,16032.807227
-0.412968,1,16043.956158
-0.361044,1,16051.710839
-4.062701,9,16131.021326
-3.439645,8,16204.841952
-6.043052,11,16294.304949
-3.783074,8,16367.855439
-3.664403,8,16440.625588
-0.400784,1,16453.079505
-0.379273,1,16461.177854
-3.934871,8,16533.455966
-3.308076,8,16606.115015
-4.330988,10,16689.001755
-4.659061,10,16774.961634
-4.665337,9,16857.844083
-0.512966,1,16870.167904
-0.487413,1,16879.604102
-4.429714,9,16961.246569
-4.43208,8,17038.02388
-4.04421,9,17117.689119
-3.804737,9,17195.647869
-4.124048,9,17272.92272
-4.791799,10,17355.87927
-4.006201,9,17436.721224
-5.253348,11,17523.511426
-3.207205,7,17593.395112
-0.428338,1,17606.418953
-4.126159,10,17688.303171
-3.375108,7,17756.011997
-4.65313,10,17841.44241
-4.478607,10,17925.994874
-4.247364,10,18008.257143
-4.020138,8,18080.867601
-4.150112,9,18145.69952
-5.200933,10,18229.998119
-3.950844,9,18308.26437
-3.171557,7,18376.974873
-5.962806,11,18463.902812
-4.480001,9,18545.175187
-2.814735,7,18611.072836
-3.534635,7,18677.154817
-3.203894,7,18745.232489
-4.603582,9,18808.755069
-0.553279,1,18823.238129
-2.291206,6,18884.878809
-2.633551,6,18948.438532
-4.923154,12,19039.03129
-3.260105,7,19105.602781
-3.96254,8,19177.355661
-3.052504,7,19246.250966
-3.169332,7,19312.193652
