#{"t_start": 1554322093.6963854, "env_id": "Baxter-v0"}
r,l,t
-5.045986,31,120.040937
-2.914188,17,178.779288
-8.912218,31,276.875179
-14.271528,49,389.728576
-17.957066,57,558.995659
-4.352665,17,620.779418
-1.495373,10,657.92456
-2.174228,12,705.182712
-2.831806,13,753.035701
-1.861295,10,796.383253
-13.409077,38,919.817829
-4.134612,26,1000.841205
-3.297249,17,1065.778915
-1.618215,7,1101.155138
-1.630085,11,1140.400694
-5.357205,25,1228.121013
-3.232824,15,1285.418506
-5.289534,18,1345.891129
-2.836506,19,1414.030072
-6.646603,29,1506.672107
-1.292234,9,1546.797654
-3.417341,15,1597.500474
-1.219095,7,1634.23948
-1.473303,12,1684.458561
-2.066226,11,1731.723982
-22.006693,77,1858.309422
-9.66962,41,1976.346832
-3.24391,16,2038.089255
-3.187401,15,2096.097414
-6.73786,27,2177.194657
-2.371869,10,2219.703987
-3.747856,24,2298.681381
-3.651683,12,2349.748418
-8.911214,27,2446.210888
-4.729071,19,2513.264184
-8.31761,31,2609.765164
-5.255376,26,2696.404429
-12.131009,36,2793.206097
-11.277735,28,2880.348235
-1.986721,11,2926.4209
-1.482262,10,2966.114664
-1.683386,9,3006.240277
-2.093504,9,3047.04589
-5.329347,17,3113.286273
-2.756792,11,3159.943495
-5.296883,25,3242.660781
-4.011089,23,3322.869637
-3.526032,22,3396.324432
-3.049944,14,3451.82083
-7.185854,27,3544.569438
-2.873004,16,3602.945411
-3.131308,20,3673.605815
-7.981216,26,3757.301351
-1.645235,11,3803.852373
-8.788984,30,3901.32224
-4.480697,16,3961.643654
-6.499285,20,4033.784752
-6.85567,18,4093.991966
-3.689553,29,4184.524162
-3.211675,16,4243.305514
-3.667886,23,4322.398512
-1.99749,9,4356.762689
-6.031549,27,4442.187585
-1.855486,13,4496.198225
-1.516891,6,4529.176265
-4.750634,20,4598.543924
-3.311072,13,4647.161755
-5.992713,24,4728.287048
-3.497447,22,4802.843845
-2.156526,15,4853.235283
-10.120948,27,4933.549102
-2.980249,13,4974.431587
-5.234539,24,5050.572125
-14.47894,42,5170.279132
-3.016003,14,5218.097799
-2.23605,12,5262.00457
-1.332154,9,5297.99206
-5.574152,25,5381.421422
-6.783802,33,5480.109849
-1.756178,9,5521.810286
-12.695611,32,5622.998564
-1.980586,13,5673.310644
-11.925925,50,5821.084501
-4.307159,16,5875.983854
-3.391406,17,5936.173262
-6.519028,21,6010.071782
-4.640193,15,6060.483727
-3.390328,17,6121.863082
-33.319089,101,6201.496661
-4.83293,26,6288.454789
-7.130491,28,6380.554499
-7.333384,26,6466.315852
-0.337097,1,6471.773014
-2.556464,10,6516.542267
-5.918795,25,6594.903224
-1.806228,7,6624.044737
-1.310433,9,6660.150723
-4.103579,18,6722.307072
-6.638046,33,6819.775023
-4.92353,18,6876.766766
-3.165614,15,6936.072904
-3.155379,17,6997.115666
-2.919144,12,7047.792454
-5.676501,28,7139.003249
-1.83346,9,7174.407761
-4.190861,15,7228.700564
-4.511604,19,7292.276525
-6.240415,23,7364.654013
-2.716562,14,7418.895514
-2.493271,14,7472.032491
-3.415569,16,7523.824357
-1.906054,12,7572.253247
-2.533127,15,7627.491662
-2.569241,11,7672.661427
-4.569016,18,7734.909312
-3.068843,12,7785.657222
-4.620037,17,7843.954448
-9.098334,45,7978.298247
-3.919275,23,8047.878966
-3.67238,22,8117.633035
-5.59015,29,8209.601294
-10.320077,36,8331.547288
