#{"t_start": 1554252337.6684783, "env_id": "Baxter-v0"}
r,l,t
-5.737762,27,124.067355
-3.46756,20,204.980561
-10.197569,42,351.696419
-7.005063,28,455.084723
-6.509935,35,581.402332
-7.07224,30,705.04616
-5.047608,20,791.39628
-0.987676,6,830.621795
-1.647577,7,873.640703
-4.985852,25,979.992806
-3.069065,16,1050.434695
-2.314383,13,1107.804133
-4.157888,18,1178.171995
-8.073996,38,1321.371686
-3.471473,19,1397.060475
-13.240334,40,1510.503639
-5.448169,22,1593.098801
-3.242261,13,1648.79512
-1.641603,6,1677.990964
-2.949187,13,1734.745531
-2.349422,15,1789.722797
-4.786762,18,1863.164187
-10.216763,31,1956.024608
-4.057749,15,2023.522313
-5.152899,24,2111.353482
-3.246641,19,2182.727677
-3.863276,20,2253.429292
-5.05786,20,2320.138018
-2.47104,12,2367.085057
-7.359642,25,2454.180321
-3.775589,14,2510.810909
-3.055525,13,2565.570436
-2.855197,11,2617.231811
-4.862386,16,2677.889387
-8.319648,33,2782.32263
-1.307426,8,2818.964128
-1.555687,6,2852.705423
-2.639961,11,2899.028591
-2.51903,12,2948.199248
-5.637535,22,3027.207043
-15.803608,37,3152.593824
-3.669209,13,3207.697181
-11.982014,32,3296.298554
-6.32196,28,3391.525035
-5.033864,15,3452.578613
-3.556856,13,3506.720385
-8.407136,22,3583.138676
-4.597012,12,3633.528761
-5.644458,19,3703.925924
-3.792595,21,3774.819313
-3.484872,15,3832.000884
-11.831636,33,3939.985641
-7.750155,20,4004.148731
-5.317979,25,4088.296778
-4.366242,17,4146.292727
-4.76129,19,4218.062541
-6.91699,28,4303.382314
-2.421357,7,4334.181226
-3.124682,13,4387.341757
-3.079832,11,4433.997838
-5.324664,26,4521.408834
-17.932704,51,4618.947167
-8.0496,32,4717.349022
-5.780262,26,4806.707059
-10.420996,36,4921.412074
-7.095338,31,5022.330842
-4.360815,15,5080.866697
-4.047632,13,5134.14013
-14.17711,29,5231.914377
-6.698894,20,5301.296655
-4.223503,16,5352.829023
-2.709178,9,5394.091266
-4.180053,11,5439.104552
-6.496051,26,5525.688057
-6.949627,23,5599.536066
-4.752995,12,5642.659136
-3.017232,15,5700.853622
-3.005181,13,5753.956173
-8.38522,26,5841.408531
-5.004173,17,5904.893033
-3.905476,18,5965.356115
-7.123587,29,6059.479545
-8.501079,29,6154.866655
-2.771176,8,6187.551965
-4.845783,16,6249.64617
-5.321413,21,6325.208037
-10.266255,28,6412.586075
-4.47458,16,6467.656293
-6.050424,18,6537.613495
-11.61689,33,6623.590185
-3.9444,14,6674.676868
-3.637872,13,6727.303118
-11.219842,36,6843.467691
-4.156356,23,6921.324217
-4.929069,18,6988.218473
-3.137711,9,7023.266325
-5.708678,22,7099.956434
-5.665629,20,7172.046083
-5.962919,24,7251.40971
-5.217319,18,7317.224595
-3.920312,19,7381.096752
-5.535214,17,7445.129267
-4.474588,12,7485.259216
-2.240794,8,7525.03693
-5.209336,18,7591.524291
-6.31708,19,7660.168131
-8.073741,22,7726.291412
-3.638205,13,7773.816804
-11.276897,31,7869.990701
-5.707536,17,7926.125206
-6.200743,21,8001.895828
-2.626847,14,8052.953655
-3.195818,17,8116.311827
-5.638873,15,8175.401045
-7.387912,22,8252.336729
-3.457166,15,8310.302152
-5.954932,19,8379.668506
-9.415249,25,8459.494282
-2.386815,10,8503.875324
-7.094924,20,8564.187363
-2.521304,8,8603.329249
-2.512638,7,8632.763398
-4.522488,17,8693.774287
-4.060851,13,8747.229731
-2.990604,15,8806.179109
-3.783294,11,8854.062275
-5.16783,16,8915.066151
-3.684088,18,8978.271914
-4.452699,16,9040.273556
-2.189489,8,9073.349638
-6.741897,22,9148.240281
-6.953411,24,9226.992962
-3.847482,16,9288.546871
-4.64092,16,9350.483042
-2.524644,13,9405.595865
-8.484113,24,9472.883051
-11.249982,25,9547.141703
-44.211928,101,9628.785697
-44.739486,101,9645.462504
-3.779985,13,9697.35319
-6.56403,18,9762.765123
-6.436058,25,9848.36227
-9.348297,29,9944.592596
-4.010206,14,10000.052844
-2.124047,12,10050.530744
-1.933051,10,10095.635278
-5.955869,20,10167.139692
-4.312999,13,10221.441071
-6.519679,20,10295.210235
-5.64557,14,10349.471482
-4.737788,16,10412.211002
-5.436514,16,10472.198786
-4.968339,17,10538.61189
-9.132052,19,10613.195277
-8.987178,22,10687.375199
-7.622312,20,10753.174151
-10.706331,23,10831.937114
-3.932794,10,10876.120238
-5.238832,18,10942.494402
-3.361261,17,11006.755313
-3.306393,16,11062.944789
-6.025032,13,11111.347255
-6.538635,18,11181.070824
-6.486187,20,11245.15045
-3.733433,11,11287.145609
-2.850706,12,11334.052547
-2.229023,8,11369.75734
-5.28823,12,11419.805499
-3.59837,10,11464.495362
-4.117628,11,11513.004251
-4.700491,14,11568.533109
-4.03768,19,11638.337962
-3.400493,11,11687.648358
-3.126393,8,11727.512441
-6.088706,15,11790.17275
-5.879706,14,11841.770307
-3.03284,10,11886.670694
-9.236621,23,11968.013162
-4.344944,15,12026.852431
-2.454428,8,12066.377138
-4.634991,16,12128.22875
-5.639091,15,12178.103958
-4.564601,18,12238.966154
-4.114574,12,12290.807944
-7.503459,19,12351.043402
-4.26339,10,12396.390841
-4.884463,14,12443.646619
-2.342053,8,12476.494839
-5.55243,22,12551.265632
-3.326181,10,12595.052692
-3.520936,18,12664.931094
-4.871217,14,12722.092092
-3.930924,13,12769.324393
-3.410572,9,12811.469201
-7.505237,32,12918.131215
-5.714806,15,12972.670434
-6.079067,20,13047.986938
-2.890671,9,13089.399791
-4.069972,9,13132.056027
-3.278245,9,13177.812102
-7.805192,17,13235.821865
-3.948117,12,13286.679055
-4.786916,12,13333.670887
-5.014467,13,13385.464141
-4.369707,12,13437.708519
-4.401568,13,13493.09417
-4.862275,19,13563.315192
-4.698295,13,13619.100684
-5.122965,15,13674.796349
-9.339221,24,13753.926671
-3.042446,11,13803.186817
-3.267597,14,13855.244346
-8.069067,17,13923.454493
-5.429783,14,13974.234069
-4.446055,13,14029.306295
-2.987021,11,14076.716179
-3.957939,14,14127.827125
-3.266783,12,14180.711826
-6.193623,16,14244.974796
-3.863941,10,14286.566199
-4.046731,11,14336.884594
-3.447817,11,14385.93503
-4.065914,16,14449.026695
-4.032457,20,14524.672438
-5.747708,17,14583.975954
-4.383769,12,14634.356334
-3.660962,10,14673.307481
-5.092425,12,14725.773884
-4.541314,13,14779.244018
-6.132038,17,14844.575223
-3.526059,14,14898.009268
-3.261949,10,14943.86681
-3.808772,10,14982.570162
-6.165885,13,15037.698219
-7.651664,19,15105.559884
-8.051225,18,15170.889687
-4.173914,14,15228.242608
-2.97167,9,15264.731842
-8.774134,29,15354.892044
-6.404593,14,15412.244279
-5.042175,14,15470.809247
-2.689921,12,15524.100875
-3.866988,9,15568.255957
-3.048464,10,15615.618419
-2.55026,9,15658.172554
-4.503215,12,15711.402133
-3.165935,11,15761.023113
-3.378717,11,15808.806084
-4.293899,11,15859.301551
-8.332976,18,15904.964128
-3.628927,14,15953.646873
-3.370613,10,16001.618694
-4.076697,12,16054.835375
-9.032094,21,16111.237874
-2.69249,8,16145.107903
-4.5753,12,16190.319178
-3.70862,11,16233.369805
-3.709061,16,16290.452936
-5.097326,13,16344.123081
-3.483292,9,16387.987278
-4.705695,10,16427.523222
-3.670611,10,16466.981325
-5.639182,15,16526.176791
-4.719286,12,16578.904709
-3.559838,10,16627.152141
-4.983318,13,16681.516717
-4.308801,13,16735.351726
-3.986462,10,16777.072534
-3.808503,14,16827.287177
-2.479679,10,16874.498835
-3.627722,10,16920.911548
-4.408453,14,16981.41544
-2.890094,12,17027.976217
-0.131399,1,17032.695078
-2.892289,9,17071.576963
-4.343688,12,17116.695603
-3.237547,12,17168.237322
-4.813656,15,17227.913028
-3.797733,14,17278.857312
-5.033215,11,17319.968132
-4.389101,12,17372.911178
-2.689906,13,17422.593252
-3.991361,14,17473.886624
-3.40116,10,17518.828262
-4.112748,10,17565.208553
-4.273797,12,17610.691051
-3.687487,10,17649.244858
-4.044125,10,17688.544475
-3.490227,10,17735.223367
-3.366048,13,17783.036674
-3.413904,11,17832.450938
-4.073583,13,17885.802654
-2.585325,9,17929.200985
-2.767667,11,17969.400429
-3.601518,13,18023.934865
-2.830482,10,18070.896606
-3.8126,11,18113.781792
-3.834543,10,18159.869393
-3.327206,9,18203.895184
-3.996128,11,18246.359128
-4.483972,15,18304.867253
-4.01512,10,18350.410812
-0.456091,1,18354.337935
-4.106083,11,18395.569048
-3.239307,11,18435.94378
-4.218341,10,18482.092218
-4.996765,12,18526.004319
-2.972975,11,18574.874719
-3.933696,12,18627.104653
-3.667956,10,18667.448054
-2.738552,9,18712.244124
-4.55331,11,18754.98935
-2.907517,9,18791.70846
-2.945089,11,18840.253775
-2.773576,8,18881.142869
-3.637955,11,18930.55583
-3.122046,10,18976.926237
-3.912516,10,19022.339584
-3.279777,10,19062.809166
-3.699513,13,19109.904261
-3.267011,10,19155.257024
-2.66521,9,19199.324558
-4.206781,12,19244.18208
-3.26189,10,19288.821748
-3.137045,10,19333.237689
-3.761947,9,19369.563596
-3.890095,10,19409.746323
-3.001356,10,19450.234739
-3.53127,10,19496.534202
-2.75632,10,19542.099348
-3.159392,10,19583.103148
-3.083398,9,19627.161799
-3.963515,12,19679.913721
-3.061504,10,19727.063533
-0.279411,1,19731.396036
-3.764864,10,19777.230419
-3.783932,10,19824.735534
-2.942434,9,19869.108705
-2.942908,9,19907.332733
-2.85642,8,19942.272732
-4.146012,10,19982.550405
-3.792745,11,20031.399119
-2.596036,9,20068.711377
-3.408285,9,20105.670313
-2.399205,10,20148.64117
-3.310211,11,20197.828317
-3.172751,9,20240.496918
-3.477401,10,20280.700998
-2.152249,10,20324.836945
-3.573263,10,20370.767083
-3.531652,9,20414.088692
-2.615939,11,20455.762717
-2.637472,10,20502.073655
-3.546559,12,20552.352646
-2.830898,10,20597.66322
-3.394502,9,20635.151272
-2.77992,10,20680.211608
-2.651797,9,20721.975505
-2.47318,10,20766.786607
-2.863427,9,20809.929368
-3.184687,9,20853.314529
-2.61376,10,20892.419762
-3.965738,10,20935.974913
-2.913105,10,20982.373871
-3.13139,9,21025.455207
-2.622993,9,21062.755735
-4.23049,10,21109.82923
-3.042858,10,21155.939044
-2.561915,9,21199.44639
-3.25818,9,21243.790387
-2.656949,9,21280.829495
-3.327225,11,21324.038758
-2.957289,9,21367.004694
-3.889912,11,21416.615736
-3.619937,10,21462.84412
-2.824159,9,21498.650375
-4.00021,10,21544.425393
-3.119813,8,21579.65054
-3.44238,10,21624.652498
-2.931898,9,21667.202557
-4.09281,10,21711.978593
-3.282816,9,21748.330852
-2.932886,10,21791.806186
-2.993773,10,21831.465011
-2.919444,9,21868.711166
-2.99927,10,21914.22448
-2.845964,9,21957.438162
-4.374563,11,22006.158479
-2.645534,9,22048.665187
-2.559083,9,22091.204741
-3.231838,9,22135.196468
-3.514045,9,22177.229795
-2.963403,9,22220.484023
-3.55653,11,22270.103164
-3.28092,9,22313.458246
-3.215991,9,22351.117897
-3.69062,10,22395.966517
-3.535897,9,22438.639779
-2.656682,9,22481.209556
-3.677054,10,22527.288348
-2.883778,10,22567.003297
-3.780829,10,22611.438035
-2.373116,9,22650.182903
-2.328012,9,22690.296268
-3.155958,9,22732.782827
-2.427476,9,22774.024901
-2.509674,10,22817.747392
-2.766448,10,22862.582534
-2.785792,9,22903.022119
-3.333003,9,22945.207071
-3.002186,9,22986.751647
-3.085969,9,23029.634449
-3.050831,9,23070.691195
-2.792359,9,23106.078387
-2.518842,9,23141.95363
-3.251316,11,23180.051877
-2.785321,9,23222.502329
-3.058968,9,23258.911053
-3.043398,9,23302.721687
-2.68263,8,23342.324655
-3.583626,8,23381.906123
-2.785382,9,23423.930606
-2.490383,9,23464.586323
-2.692837,9,23500.931846
-3.008352,9,23536.685532
-3.396986,9,23579.376576
-3.51081,9,23621.269589
-3.179064,10,23659.01042
-3.115268,9,23700.049809
-2.72081,9,23742.07202
-2.766922,10,23786.572594
-2.452369,9,23827.179703
-3.533262,10,23872.362939
-2.828565,9,23914.448835
-2.948327,9,23956.396123
-2.769783,9,23992.156586
-2.532631,9,24033.401848
-2.565799,9,24072.557823
-2.60093,10,24116.012449
-3.14938,9,24158.033579
-3.131504,10,24197.151518
-2.598323,9,24237.579868
-2.494862,9,24272.130721
-3.056693,9,24314.533714
-2.632599,9,24350.338497
-2.804036,9,24392.859678
-3.057955,9,24436.394446
-3.830628,9,24478.426467
-2.585886,9,24513.240211
-2.750281,9,24555.793841
-2.811476,9,24597.885528
-2.874851,9,24640.337436
-2.81139,9,24682.185638
-3.209857,9,24724.915699
-2.874981,9,24767.017114
-3.239276,10,24811.896136
-3.169851,9,24854.937421
-2.788281,9,24890.761564
-3.663599,10,24929.515259
-3.476076,9,24973.276175
-2.91043,10,25016.358165
-2.639317,9,25051.813286
-2.811246,9,25094.801254
-2.834203,8,25127.994364
-2.807002,9,25170.119082
-2.607793,9,25210.808826
-2.828803,9,25245.310951
-3.038293,9,25280.841585
-2.839532,9,25322.15033
-2.607771,9,25362.666677
-3.023944,9,25405.325563
-2.506492,9,25439.462555
-3.594413,9,25474.800204
-2.636067,9,25515.758616
-2.583051,9,25556.778707
-2.636019,9,25598.497102
-3.024003,9,25641.03124
-2.810786,9,25683.263529
-3.036286,8,25717.49258
-2.506425,9,25757.794378
-2.562567,9,25799.526361
-3.121726,10,25836.987202
-2.77828,9,25879.600524
-2.829241,10,25923.488048
-2.992877,9,25958.70008
-2.607716,9,25999.29929
-3.020237,9,26042.005187
-2.50645,9,26076.438451
