#{"t_start": 1552839276.3188276, "env_id": "Baxter-v0"}
r,l,t
-2.384505,14,178.073974
-2.217711,11,322.820424
-2.61182,11,461.279263
-5.595081,27,721.248318
-4.392616,21,941.110243
-3.851545,20,1160.409625
-2.82324,14,1320.256757
-5.016694,28,1635.113141
-5.520664,30,1917.082293
-1.732237,10,2042.82209
-3.09228,16,2219.282802
-2.652665,15,2367.567224
-5.173671,20,2562.550263
-3.213726,15,2730.945793
-5.881502,22,2936.610166
-3.82003,16,3104.855492
-4.031856,19,3292.589572
-9.463349,38,3634.966335
-8.352746,26,3892.735068
-7.10244,34,4210.883708
-13.834796,40,4562.194086
-5.312731,21,4768.736071
-3.825137,15,4931.376263
-1.875328,13,5078.949394
-3.542267,17,5260.009168
-1.989656,10,5384.508753
-0.231315,1,5399.726003
-4.170005,17,5557.734293
-5.647601,24,5775.001225
-5.102064,23,5993.681572
-7.843614,24,6240.101714
-2.389679,17,6428.691995
-9.107476,36,6761.862847
-0.194899,1,6778.561563
-5.354957,29,7043.887613
-5.425478,20,7235.438771
-9.08621,27,7499.794601
-3.895527,19,7693.168671
-6.480934,21,7907.772575
-4.925649,19,8097.173285
-7.641113,22,8312.669764
-3.254566,15,8480.143358
-1.282959,6,8575.105613
-7.011423,32,8866.398385
-6.19985,20,9075.301526
-5.556452,16,9245.711243
-18.787023,51,9649.580712
-5.047517,16,9823.920506
-2.693316,13,9970.397107
-2.232545,11,10105.102296
-1.7997,9,10225.355061
-5.380479,26,10492.554138
-9.340007,36,10812.183912
-3.409574,12,10940.454136
-5.045059,18,11113.416634
-6.246284,22,11319.171122
-3.65626,12,11444.666592
-10.291025,37,11753.625835
-4.420324,17,11921.263587
-5.648484,26,12159.882253
-3.404574,12,12305.310544
-4.939258,23,12524.731751
-3.652025,14,12680.580532
-2.086539,8,12791.226746
-1.866068,9,12909.894202
-8.54158,26,13157.296284
-6.22332,26,13408.855632
-13.551473,35,13612.865154
-2.868816,9,13728.075574
-1.797867,8,13835.185863
-2.486227,9,13934.816401
-3.609682,12,14064.818162
-2.391972,7,14171.350967
-2.652989,9,14295.213751
-5.674857,20,14488.679557
-3.664009,14,14633.835586
-8.046319,23,14831.087052
-5.687365,18,15019.067768
-3.198633,9,15132.533544
-5.281273,17,15316.479661
-2.983886,12,15453.56889
-7.992536,28,15729.287919
-5.665442,17,15906.544697
-1.865088,8,16014.029112
-2.840663,12,16146.666244
-7.002769,24,16377.705891
-6.193233,18,16559.05318
-4.666076,18,16744.877722
-5.673248,17,16920.644824
-3.18833,14,17075.283466
-2.614204,8,17184.165802
-5.429162,16,17363.296115
-5.496404,17,17545.174048
-6.789542,26,17795.587496
-1.767135,7,17895.752424
-11.1287,23,18122.743562
-8.289022,30,18372.509906
-2.986886,9,18483.196514
-9.49551,34,18793.659129
-3.922257,20,18994.730429
-9.425477,34,19295.544412
-6.461181,21,19485.27977
-6.02548,19,19687.112258
-4.552893,18,19875.289062
-7.782184,26,20092.284135
-5.551128,18,20262.993816
-7.786536,25,20492.37821
-7.016564,24,20729.950912
-5.740854,20,20931.343446
-2.583056,11,21061.614964
-4.236962,12,21198.354536
-13.786683,28,21473.279102
-1.431624,5,21558.772642
-2.30274,8,21669.668998
