#{"t_start": 1552299997.247515, "env_id": "Baxter-v0"}
r,l,t
-2.421494,6,52.283207
-1.971956,5,83.015675
-4.639785,10,126.340965
-11.079053,30,213.933966
-6.792673,16,276.598053
-10.84168,29,372.832094
-6.7665,19,434.824858
-14.262525,27,524.987419
-8.422994,18,584.652882
-7.970207,19,651.569354
-5.098308,13,704.423202
-5.59247,13,756.41912
-4.185364,11,798.535044
-14.20065,35,912.991498
-2.952892,8,953.118119
-4.211468,9,994.792921
-10.019158,25,1072.093611
-4.086377,10,1115.808236
-8.315608,19,1182.85028
-11.950805,24,1262.891907
-9.046043,23,1342.616725
-7.733991,22,1414.620754
-8.475287,18,1478.866163
-6.84867,25,1555.184151
-5.726131,15,1607.324994
-7.599779,18,1673.890234
-8.646494,32,1775.233773
-13.82121,34,1881.563377
-8.905264,22,1956.388373
-5.322096,20,2023.033472
-4.203393,10,2067.412011
-5.13266,17,2129.501969
-5.343174,18,2197.799313
-10.714133,28,2289.046221
-5.449104,12,2332.826743
-7.10478,17,2396.217196
-4.215244,10,2440.617543
-3.535076,9,2482.552939
-8.463838,22,2559.99694
-8.61612,18,2615.603301
-3.427857,8,2653.952235
-18.649534,36,2758.135473
-12.350373,24,2840.490302
-4.385191,10,2878.879266
-6.423153,15,2932.702065
-7.414039,16,2994.120734
-3.657313,9,3036.390231
-4.070727,12,3087.671317
-4.947262,16,3151.705792
-4.840754,14,3207.813098
-6.411481,15,3265.702119
-9.491836,37,3385.566248
-29.369184,67,3530.474543
-3.439664,9,3573.583861
-8.263111,20,3645.52394
-15.59171,30,3730.834217
-3.988142,11,3778.714963
-6.757282,14,3825.949765
-3.245204,10,3864.057525
-3.286339,11,3911.559265
-6.420369,16,3971.687745
-9.002911,19,4040.10243
-7.572268,22,4113.928219
-8.46063,34,4219.215065
-17.716109,31,4308.627757
-5.601299,16,4367.635789
-8.64097,22,4434.609212
-7.857431,17,4500.400933
-5.230854,13,4544.298654
-6.132756,16,4602.675014
-8.452061,20,4673.53609
-6.165504,17,4728.300032
-6.810638,18,4794.204465
-3.624244,12,4844.402288
-0.195747,1,4850.458768
-5.319715,11,4896.894831
-7.762172,19,4960.678798
-4.481049,18,5026.976511
-4.113535,9,5066.428293
-14.641229,31,5144.301946
-3.833503,11,5190.72858
-8.355053,19,5261.507851
-4.15915,14,5314.264978
-4.648265,13,5365.638357
-46.278933,101,5426.844494
-7.030496,17,5489.370913
-8.421502,17,5551.321649
-7.791007,23,5628.30639
-8.046375,17,5688.674473
-4.628383,17,5743.815512
-7.183291,17,5808.546147
-11.325983,25,5889.65374
-4.713577,13,5942.523133
-4.212358,10,5987.64985
-7.634464,19,6056.25824
-5.015986,12,6100.736394
-5.490683,14,6154.355876
-3.098293,8,6193.652274
-2.924562,14,6248.586671
-3.796071,9,6290.50272
-5.954107,16,6350.165707
-4.188781,11,6396.596699
-7.478868,16,6452.393652
-7.010536,15,6507.118136
-3.568809,10,6552.994802
-4.5158,11,6601.851245
-7.047734,18,6663.101214
-3.796005,9,6698.864199
-4.473728,12,6743.349979
-4.782229,12,6795.320631
-6.971721,19,6868.622873
-3.995742,10,6913.340581
-3.553882,12,6966.389797
-5.267856,14,7015.705103
-3.087137,9,7059.365306
-3.521745,9,7100.618302
-4.481749,9,7136.946087
-4.767155,18,7207.247454
-4.228084,20,7276.917155
-4.517012,10,7316.006751
-5.637477,15,7368.602379
-4.4349,15,7427.918431
-4.901181,11,7470.344019
-4.45096,11,7518.910442
-3.884415,9,7560.468775
-4.22646,12,7611.259629
-4.261401,13,7665.486411
-4.451721,12,7716.660976
-4.013976,11,7766.092209
-4.022973,12,7815.614286
-4.599775,12,7859.375133
-3.986293,11,7900.723028
-4.556055,16,7951.857158
-4.312078,12,8000.0886
-4.319733,12,8043.711346
-3.871225,10,8087.521171
-4.514413,14,8144.455582
-3.300784,9,8185.954352
-3.686869,12,8229.621013
-5.434839,13,8282.559961
-3.878336,11,8329.460921
-2.858239,10,8372.696239
-3.670324,10,8418.502383
-3.729217,11,8466.662778
-3.994383,9,8502.36545
-4.387715,11,8550.631608
-4.30159,10,8589.717362
-3.833579,9,8632.870977
-3.753723,11,8674.579472
-4.225605,10,8714.686684
-3.581648,10,8761.530442
-3.729969,12,8807.015168
-5.089932,12,8857.422272
-4.286611,10,8902.563775
-17.521644,47,9041.5529
-4.23617,12,9083.743628
-4.058389,10,9129.373144
-3.020589,10,9175.630267
-3.322985,9,9216.609928
-3.406231,9,9259.165935
-3.13945,10,9304.208148
-3.032931,10,9344.654727
-2.92471,13,9400.669676
-2.821589,9,9443.040927
-3.49388,10,9488.436147
-3.036285,9,9525.291367
-3.340084,10,9568.774595
-2.524307,10,9608.738804
-3.289792,9,9646.342133
-3.814148,12,9692.153786
-3.105815,9,9736.776154
-4.405707,15,9795.546475
-3.625448,15,9848.679172
-3.388336,10,9888.465089
-2.989889,9,9930.953109
-3.564222,12,9981.899752
-4.28238,9,10024.30323
-4.74821,11,10067.242713
-3.313871,10,10112.133658
-2.801339,11,10153.022491
-2.973119,10,10196.687061
-2.426253,9,10238.312079
-3.333003,9,10278.890695
-3.733756,9,10318.321707
-2.92437,10,10362.94992
-3.617572,9,10403.973326
-3.34063,9,10438.109518
-2.979666,10,10482.331418
-2.489624,9,10524.332912
-3.355997,9,10559.274935
-3.01418,10,10594.543733
-3.07037,11,10644.317527
-3.026466,9,10687.625353
-2.629951,11,10737.189692
-2.561936,10,10776.96537
-3.881586,9,10816.96039
-2.610739,10,10857.033219
-2.941038,10,10903.36137
-3.860983,10,10947.807522
-3.361582,11,10990.649887
-3.263321,9,11032.737779
-3.353491,10,11072.740403
-3.921946,10,11118.290495
-3.832272,9,11160.605262
-2.95237,9,11202.39079
-3.277532,9,11244.240566
-3.02312,9,11279.907815
-2.516486,9,11322.879928
-2.452011,9,11365.156813
-3.445555,10,11401.516433
-2.603146,10,11446.100528
-3.031441,9,11488.975428
-2.610309,10,11533.396811
-3.587249,10,11579.010163
-4.267529,10,11617.302414
-3.349305,9,11658.471649
-2.93208,9,11700.309583
-2.914305,9,11742.092264
-2.558125,9,11783.27756
-2.791729,10,11830.12244
-2.861394,11,11877.822305
-2.927917,9,11913.745951
-3.37372,10,11957.068142
-2.992692,10,11999.675582
-2.933749,10,12044.072819
-2.618236,9,12087.481417
-3.135158,10,12133.064754
-3.096513,9,12172.207276
-3.377925,11,12214.2963
-3.728454,9,12254.976515
-3.299698,10,12298.219262
-2.548028,9,12342.401159
-2.539023,9,12378.383259
-2.740928,10,12422.684096
-3.288682,10,12468.53079
-2.54865,9,12511.696315
-2.558153,9,12552.78756
-3.101832,9,12593.298378
-2.854034,9,12634.652806
-2.357346,8,12673.617573
-2.622491,10,12718.850713
-2.48488,9,12755.633062
-2.974671,10,12795.893075
-2.857005,9,12838.354333
-2.552773,9,12874.657955
-3.336702,10,12917.504529
-2.668577,8,12957.183078
-2.494988,9,12999.244429
-2.547928,9,13042.499992
-2.91676,10,13086.465569
-3.43514,9,13120.707265
-2.535925,9,13163.214473
-2.493303,9,13209.246701
-3.630087,10,13255.644595
-4.407876,11,13299.254536
-2.501552,9,13335.679487
-3.689125,11,13376.468917
-2.927551,10,13422.442812
-2.736729,9,13465.907972
-4.682114,12,13515.995998
-2.553338,9,13552.099728
-3.284039,10,13596.317732
-2.558309,9,13638.953823
-2.552881,9,13676.606867
-2.487264,9,13721.676665
-2.487975,9,13766.774423
-2.855212,9,13810.628815
-3.42291,9,13853.295171
-2.934469,9,13897.10169
-2.705389,9,13938.849028
-2.542801,9,13982.215684
-2.54286,9,14026.144609
-2.532431,9,14063.308895
-2.810401,9,14107.941952
-2.934255,10,14153.313068
-2.705407,9,14195.036704
-2.493401,9,14240.317879
-2.848079,9,14283.366349
-2.487304,9,14327.837498
-2.696462,9,14363.77277
-2.949856,10,14411.791731
-0.205692,1,14418.521399
-2.84377,10,14466.247191
-2.708355,9,14501.970765
-2.566553,9,14537.662632
-2.544906,9,14573.84778
-2.950302,9,14616.378974
-2.560729,9,14661.270107
-2.505779,9,14704.442888
-2.570651,9,14757.264116
-0.206441,1,14764.373196
-2.717104,9,14816.6194
-2.898145,10,14873.929538
-11.202363,23,14996.42915
-2.570668,9,15050.93814
-2.5761,9,15105.89763
-2.464263,8,15154.139031
-2.717128,9,15206.010865
-2.880837,10,15262.812443
-2.505842,9,15316.186154
-2.499061,9,15371.860169
-2.549783,9,15419.088971
-2.498984,9,15475.281945
-2.717117,9,15529.262003
-3.04145,9,15585.955022
-2.954613,10,15642.802339
-3.249071,10,15697.297052
-2.570749,9,15749.949916
-3.114703,9,15802.60506
-2.717165,9,15853.733491
-2.555305,9,15906.86049
-2.828466,9,15962.86109
-2.375106,8,16014.693165
-3.070395,9,16067.877407
-3.061128,10,16125.854008
-2.882629,10,16185.437509
-2.717268,9,16236.008768
-3.045988,10,16290.98338
-2.570781,9,16343.470122
-2.570807,9,16396.102833
-2.575957,9,16450.11116
-2.503922,9,16498.96557
-0.176262,1,16507.524942
-2.650339,9,16564.411128
-2.728172,9,16618.794399
-2.564024,9,16672.515577
-2.898318,10,16729.486447
-0.223064,1,16736.249591
-2.728131,9,16788.020237
-3.575799,10,16846.95066
-2.522569,9,16901.157395
