#{"t_start": 1553110541.9346864, "env_id": "Baxter-v0"}
r,l,t
-1.957835,14,80.003426
-4.973917,22,161.221408
-2.559468,14,226.404208
-6.52716,27,466.704198
-6.035032,29,735.693544
-1.745426,10,842.707461
-2.923853,11,984.334569
-0.297655,1,1003.503531
-4.719312,21,1240.150809
-31.633324,101,1432.417969
-5.875645,24,1674.893882
-3.04604,15,1855.082091
-3.444685,22,2089.182737
-3.032654,14,2261.647992
-2.70505,18,2467.966918
-2.635275,15,2644.995916
-0.160565,1,2665.473028
-0.214003,1,2686.880923
-0.211983,1,2710.503142
-7.026536,19,2951.092502
-5.520712,31,3274.713724
-6.337754,20,3480.396224
-3.953716,15,3541.792008
-4.27054,19,3612.03155
-5.114524,15,3667.269638
-6.628526,22,3747.491208
-6.602446,27,3857.582952
-9.444978,34,3997.298036
-1.968165,9,4046.93931
-1.374239,7,4088.654121
-3.893251,13,4148.38047
-2.372463,10,4197.221842
-12.8114,41,4350.224601
-2.91406,11,4398.271113
-4.091705,19,4472.797597
-2.982373,14,4538.258487
-3.564186,13,4595.396491
-4.107749,21,4679.888382
-2.895761,13,4738.079363
-2.318742,11,4790.688603
-7.368644,27,4891.870966
-3.92213,16,4951.71344
-3.526493,11,4998.649875
-7.936108,28,5102.60309
-4.728045,15,5164.013276
-3.360861,14,5215.413045
-4.723518,14,5266.773014
-4.344135,12,5312.864682
-4.108879,17,5376.975767
-4.871837,17,5436.274066
-3.527163,22,5515.383564
-15.780831,37,5630.152438
-12.096581,36,5749.799212
-8.729851,36,5865.347119
-10.575563,33,5966.002438
-5.926167,21,6042.684548
-3.557472,18,6109.754541
-2.573086,10,6156.829354
-11.912564,35,6274.188068
-3.430965,15,6327.222637
-8.39902,24,6406.503825
-3.904884,16,6472.247509
-4.205586,20,6545.629762
-4.02437,13,6603.655091
-5.606557,18,6673.111824
-8.272155,24,6752.794807
-3.721967,17,6811.451393
-0.274975,1,6817.182683
-3.84207,17,6885.308668
-11.350032,41,7018.808019
-2.192845,11,7068.88265
-10.962297,28,7155.835365
-5.092512,15,7215.328167
-6.118841,25,7306.181755
-1.360696,7,7339.108076
-3.689108,15,7395.983239
-2.874162,10,7443.714199
-3.157761,10,7485.505923
-5.31313,19,7557.664667
-16.301641,40,7660.062046
-3.873998,14,7720.736297
-2.724559,8,7756.191255
-3.689356,14,7809.812938
-1.620583,6,7847.132431
-3.175186,10,7895.799877
-4.080238,19,7962.704866
-7.874005,27,8054.563588
-5.828589,19,8129.422997
-6.297291,22,8207.288717
-8.096679,30,8313.156209
-5.279787,21,8394.128873
-7.928217,22,8462.770205
-7.525115,19,8540.92988
-5.014496,15,8593.735943
-2.196785,11,8644.436508
-4.707737,16,8711.412465
-4.651042,21,8786.312528
-7.414246,24,8867.437851
-7.364189,25,8960.62441
-6.320071,25,9043.04883
-3.160602,12,9089.63391
-6.766926,22,9174.363709
-3.296167,15,9236.921875
-9.320716,32,9341.232031
-1.42834,5,9373.789593
-5.954608,27,9469.370952
-7.688449,24,9556.247426
-4.315832,18,9620.709111
-2.139244,12,9674.99638
-7.152986,22,9754.764876
-4.261803,14,9817.342959
-4.569613,17,9885.242977
-6.808396,21,9956.900761
-3.449517,11,10001.133378
-5.331697,23,10089.641672
-2.16259,10,10130.163673
-4.141,16,10194.38721
-3.967042,12,10247.414632
-3.730041,15,10302.517499
-7.062365,19,10369.176824
-2.694015,13,10419.95263
-6.239961,21,10495.102995
-2.397472,9,10532.081073
-2.860929,11,10583.225555
-5.050989,18,10656.652233
-1.412546,5,10682.793059
-4.082157,12,10738.737599
-6.434611,23,10826.185062
-3.094027,15,10890.061744
-7.020178,24,10977.788602
-8.399522,22,11059.580787
-4.859834,18,11126.2656
-6.768754,22,11209.933352
-4.051391,14,11261.7178
-3.532764,12,11314.362864
-7.803727,29,11414.576201
-5.781553,16,11478.658081
-1.41552,5,11511.034105
-7.302994,21,11580.58225
-3.039689,11,11625.168333
-3.539549,15,11690.140551
-8.060663,25,11778.452912
-7.772991,20,11844.115233
-17.964185,37,11951.021325
-3.300949,10,11997.733864
-8.082331,22,12071.592437
-9.490478,41,12202.27133
-6.625285,25,12294.02767
-5.076265,17,12355.47598
-3.631622,12,12403.405332
-2.670528,9,12441.350053
-9.545506,23,12529.966466
-4.367227,26,12616.251009
-4.47754,13,12672.048282
-7.815641,23,12750.360325
-5.165316,14,12807.965846
-3.964687,12,12860.679417
-7.530484,21,12931.015017
-5.202936,17,12998.6049
-1.494297,7,13035.554317
-6.750374,25,13125.719857
-0.252143,1,13132.359556
-6.783943,26,13222.04279
-2.821793,9,13264.974645
-12.761496,34,13375.210512
-7.231442,17,13439.042697
-7.903804,28,13527.572466
-7.29907,18,13591.787356
-10.345861,30,13692.616284
-1.398764,6,13728.488413
-1.858188,7,13765.847233
-5.46999,17,13833.605578
-9.652639,23,13921.998519
-4.780976,15,13986.334305
-16.176161,40,14115.813855
-3.357047,12,14168.376579
-6.285579,17,14235.914137
-6.601477,22,14317.892668
-9.548402,32,14421.040127
-13.002277,38,14548.371034
-4.253433,20,14625.131484
-6.920799,37,14754.552249
-4.597414,13,14810.837034
-8.654519,20,14874.662521
-7.357337,19,14947.305166
-11.606885,30,15054.946471
-5.666285,17,15121.511826
-1.505811,5,15153.520315
-3.512114,11,15197.557473
-0.300277,1,15204.204385
-8.381786,23,15288.865272
-5.270467,15,15345.128629
-10.952005,28,15444.5824
-23.919065,42,15573.280257
-12.118005,30,15668.070367
-4.012179,11,15716.932172
-9.016658,25,15793.579653
-4.530795,18,15862.828399
-2.046482,6,15890.79126
-6.385896,18,15956.593825
-6.329384,14,16007.31625
-5.613046,12,16052.820996
-5.281919,13,16107.843154
-7.783354,24,16194.406478
-4.68691,19,16254.71821
-10.654913,33,16362.706101
-9.051241,38,16481.310076
-3.654147,10,16522.762689
-3.218365,16,16581.984885
-14.288671,43,16724.433396
-7.016719,18,16795.101694
-4.019764,9,16832.490222
-6.456048,16,16888.995719
-11.960597,23,16975.213039
-11.999443,36,17087.760769
-6.170942,18,17156.27013
-18.910402,36,17276.970519
-3.834151,16,17332.861741
-5.146989,17,17400.464247
-3.006923,8,17440.942379
-10.541775,25,17531.41969
-9.79921,21,17613.722845
-18.608141,42,17747.860078
-13.44659,34,17868.850983
-7.488514,29,17974.409426
-4.054649,11,18025.989707
-3.087436,14,18078.862224
-8.613132,20,18155.244167
-3.349818,10,18203.459405
-4.001645,12,18256.607535
-11.641961,27,18353.36604
-5.974454,25,18443.325324
-7.485048,28,18536.837419
-4.277326,10,18584.8327
-14.549379,31,18671.822875
-5.067408,17,18741.701794
-6.431444,21,18821.441328
-9.028082,22,18905.57143
-2.818246,8,18939.970452
-2.174857,7,18977.684856
-2.981578,10,19026.404571
-7.265233,22,19106.626367
-6.788008,17,19173.906541
-3.442674,10,19220.88005
-14.330862,37,19348.658176
-8.139363,22,19424.735029
-0.463004,1,19430.753284
-11.518034,25,19514.627958
-4.015027,9,19558.983221
-4.490039,13,19614.283269
-18.261682,37,19724.295839
-10.276687,24,19817.061287
-18.045122,31,19906.396679
-7.873966,21,19985.64658
-17.972218,50,20117.936908
-17.407155,43,20251.49961
-2.471279,10,20297.568924
-6.550563,19,20362.911985
-4.038689,13,20419.117899
-3.572047,12,20472.716573
-2.852496,10,20513.16485
-5.831243,21,20586.577054
-5.368221,17,20655.364931
-6.455043,25,20745.627794
-4.295627,12,20792.709897
-3.953459,11,20836.044975
-10.980173,38,20962.264176
-4.433411,14,21020.95274
-13.034254,34,21128.434981
-3.467032,14,21186.263397
-5.068084,13,21237.495241
-5.555971,22,21316.816294
-3.471118,11,21368.338825
-6.231129,19,21435.612296
-10.037,48,21592.531651
-8.650752,21,21672.492854
-8.961555,20,21724.197752
-6.937625,23,21805.085732
-12.469145,40,21907.166806
-9.914359,28,21986.651748
-6.374962,22,22064.645438
-2.093475,8,22105.235026
-1.542289,5,22137.705517
-2.075368,8,22172.562913
-4.698081,16,22225.060169
-11.570343,37,22318.100498
-3.485082,13,22374.129077
-7.466852,18,22449.192098
-3.925983,13,22506.772896
-4.041351,12,22561.917994
-3.797735,10,22608.813434
-22.546961,53,22783.311479
-2.870845,11,22834.335163
-1.928857,8,22869.519177
-5.134892,11,22914.398965
-5.166266,12,22962.085808
-3.267893,11,23012.693036
-4.557212,17,23081.243739
-5.004294,18,23152.226029
-2.029043,7,23184.964635
-12.193586,35,23304.867831
-6.005209,17,23374.384259
-11.273495,25,23462.042769
-6.662307,19,23536.660062
-4.793313,26,23626.881077
-8.111631,23,23702.133821
-6.306333,15,23764.866331
-2.025338,7,23803.767941
-2.752543,11,23855.548591
-3.514438,17,23920.109601
-6.585875,27,24016.215555
-2.431249,9,24056.469819
-4.068222,13,24112.17953
-9.729117,32,24215.61913
-5.249958,16,24282.328944
-7.05108,23,24362.984481
-4.511001,19,24437.239465
-3.282589,13,24493.055758
-4.910241,16,24560.612854
-9.62736,34,24677.861014
-5.551699,20,24757.115392
-2.928557,9,24802.284172
-4.396812,11,24852.481987
-4.818983,17,24920.589784
-6.703645,18,24984.871934
-3.336985,10,25033.719613
-10.914296,22,25115.269476
-3.059111,9,25159.560641
-8.471819,25,25245.434143
-7.093459,29,25345.943207
-2.586366,14,25406.301418
-3.169782,9,25452.60039
-3.716054,18,25522.426141
-4.910139,14,25582.356384
-5.406122,17,25652.077289
-2.572107,9,25697.056807
-29.746942,101,25810.343033
-3.15307,12,25858.798546
-6.620005,18,25929.082631
-6.639448,19,25996.353597
-7.309808,28,26092.700521
-2.77867,12,26141.73984
-3.672031,11,26188.411475
-10.967744,36,26310.734276
-8.191456,28,26410.613944
-3.73298,14,26474.099283
-10.927246,27,26571.106261
-10.935258,28,26676.093401
-5.918395,18,26751.892994
-3.015302,12,26806.78537
-10.172881,25,26904.860508
-3.511047,13,26963.822449
-5.73106,14,27023.400394
-5.930383,20,27105.353378
-13.539545,26,27202.215462
-7.664466,25,27292.406819
-10.829924,32,27390.528341
-2.633305,9,27434.379364
