#{"t_start": 1553210927.109812, "env_id": "Baxter-v0"}
r,l,t
-7.979305,26,138.52432
-0.809138,6,179.682797
-5.543222,21,268.421792
-4.131237,21,368.978096
-1.627989,11,430.809194
-5.232618,18,514.023437
-10.903475,39,635.421765
-2.429187,13,694.800221
-6.245068,30,804.979678
-4.882006,23,895.169851
-5.057077,23,991.194576
-2.143609,12,1050.035374
-11.565089,35,1180.46931
-3.810581,23,1274.31884
-6.657661,27,1382.802872
-4.79372,18,1449.736958
-5.30077,18,1527.935206
-8.192136,25,1624.420083
-5.440859,18,1703.683496
-0.341221,1,1710.347881
-2.046313,12,1773.01733
-1.928886,10,1830.149359
-1.963094,13,1895.940705
-6.897913,32,2007.393731
-4.757582,18,2085.924002
-9.163794,26,2183.365439
-3.342127,11,2241.445141
-3.338139,12,2302.8866
-2.129689,9,2356.902534
-1.850497,9,2408.692073
-2.186884,15,2476.633429
-14.406889,43,2644.663403
-6.809995,16,2722.403421
-16.168291,52,2925.614147
-2.9536,16,2994.853101
-8.319796,28,3114.855564
-7.977884,25,3227.791519
-12.045081,32,3335.663276
-3.226486,13,3401.270049
-16.950892,47,3579.761496
-50.488323,101,3680.217782
-4.750013,18,3765.511723
-1.856266,9,3820.039399
-3.381179,13,3892.488683
-5.64892,22,3999.559464
-6.387974,22,4107.435787
-2.773165,16,4190.004054
-3.77236,16,4274.626662
-13.344757,33,4427.758184
-2.456107,13,4495.642658
-3.385291,13,4556.619612
-5.888442,23,4664.449209
-3.871507,17,4748.971592
-2.752386,10,4810.050787
-3.072689,10,4871.665659
-4.259459,18,4952.860247
-1.758356,8,5000.029494
-3.347929,12,5067.869817
-0.258941,1,5076.071798
-4.739196,16,5151.790621
-8.266832,26,5261.667092
-11.560044,28,5391.531512
-5.631657,23,5495.153522
-3.166314,13,5555.219245
-7.863852,28,5668.079397
-4.237791,19,5761.279904
-9.835486,32,5897.111038
-5.73773,23,5990.045558
-4.088269,20,6068.13891
-7.508011,26,6154.587931
