#{"t_start": 1553914269.9916224, "env_id": "Baxter-v0"}
r,l,t
-1.601474,8,65.431011
-0.192185,1,73.592737
-0.959704,7,129.984021
-6.438122,38,295.006437
-11.026073,43,428.249718
-5.380746,32,547.874815
-0.222419,1,556.193927
-3.83903,23,645.452424
-6.314082,39,781.652242
-1.436098,11,836.80091
-2.302499,13,897.852098
-10.059957,34,1012.805194
-6.213718,28,1123.749319
-0.20476,1,1145.20579
-14.006438,29,1363.781169
-3.250738,14,1509.380087
-12.102482,39,1894.058154
-5.40566,21,2115.68665
-2.039161,15,2303.523288
-8.940344,22,2493.639308
-2.251425,8,2549.121804
-5.432953,16,2637.111871
-5.001713,17,2727.752012
-2.45372,8,2781.145803
-5.527983,28,2912.771354
-4.142763,24,3022.375439
-2.75052,12,3084.776916
-7.972599,25,3192.692976
-3.990614,12,3259.33478
-4.215166,18,3343.392443
-6.129771,19,3432.539569
-5.715859,34,3571.428554
-4.525734,16,3638.898234
-10.012859,26,3748.930428
-2.356651,8,3796.858458
-7.558249,22,3893.245378
-8.044988,28,4001.060495
-3.482219,20,4087.307955
-9.546148,52,4288.411245
-7.940361,29,4402.61887
-1.968469,11,4467.582589
-38.476657,101,4540.966334
-3.961698,17,4626.014858
-0.150549,1,4633.868919
-3.009626,10,4696.699078
-3.392753,10,4759.047778
-5.631069,21,4851.346014
-3.26346,12,4910.685237
-2.65479,13,4976.487694
-12.037518,29,5074.458619
-52.279043,101,5175.465586
-6.591684,19,5246.169775
-10.460805,42,5373.78205
-8.081576,27,5446.639009
-5.231007,25,5532.770741
-5.978665,16,5595.152434
-5.170259,16,5653.260966
-1.803836,10,5701.683821
-3.174842,13,5761.57305
-2.928886,10,5813.553078
-4.865813,19,5886.26538
-7.132373,21,5967.597039
-5.227692,20,6048.316008
-3.866241,18,6121.729156
-4.438609,14,6174.389348
-4.16024,17,6247.739559
-2.029858,9,6296.360761
-3.711547,16,6358.868523
-1.874128,11,6404.161407
-2.457381,8,6444.075377
-5.156061,18,6509.699808
-3.971594,20,6578.915012
-4.25232,13,6628.028144
-47.42338,101,6728.019586
-2.499066,11,6773.809144
-3.473094,15,6830.886663
-8.116216,23,6902.870934
-7.356062,18,6971.199983
-1.501015,8,7011.010185
-4.619622,13,7063.916953
-2.375859,11,7111.839319
-6.495903,17,7175.301963
-6.793931,21,7248.677234
-6.211512,18,7311.321731
-3.842435,14,7367.930673
-6.270471,17,7428.513237
-4.271771,21,7502.500849
-5.127718,17,7573.378965
-11.888961,30,7693.009072
-12.052262,28,7779.760675
-8.709587,20,7854.404999
-4.957637,24,7938.52645
-2.882273,9,7985.772315
-9.172896,34,8105.765426
-4.471272,15,8157.287763
-9.328644,36,8265.125938
-3.209988,16,8320.450174
-13.917361,35,8426.653607
-5.244116,30,8529.511144
-4.021507,20,8605.090381
-3.746948,11,8647.312984
-3.862661,12,8698.304211
-6.907204,21,8775.474008
-18.187813,48,8920.49238
-23.522581,58,9090.312623
-16.948823,37,9202.969753
-4.051533,18,9265.585
-13.722624,34,9369.202665
-8.018525,18,9436.55136
-9.707773,22,9507.295756
-3.023228,8,9539.304724
-9.837802,21,9606.974291
-3.48976,13,9652.801039
-6.190108,30,9759.060757
-10.692772,23,9839.783362
-3.122532,11,9888.949142
-2.56183,7,9926.200706
-6.742821,23,10005.926388
-40.465823,101,10071.260654
-11.050791,31,10176.357364
-7.369042,27,10262.611308
-11.44283,26,10350.173038
-3.348205,8,10392.560656
-9.681552,20,10466.143246
-11.463926,32,10575.651714
-4.983599,14,10630.521551
-11.697333,27,10725.130948
-7.064087,28,10811.949407
-10.253506,25,10895.360392
-9.373399,22,10970.485552
-15.728809,33,11055.876074
-7.81248,17,11124.042644
-6.358945,24,11202.241611
-8.195444,20,11276.065564
-8.086207,22,11355.991269
-5.966657,13,11407.426858
-4.455722,14,11463.649979
-4.722671,14,11522.290866
-13.993823,31,11629.874452
-3.972175,11,11680.3322
-29.57694,75,11800.840379
-15.037557,30,11892.208177
-7.233836,18,11961.086702
-6.394127,18,12030.176793
-6.570053,17,12088.384895
-4.325224,11,12131.066722
-9.713899,19,12197.078178
-21.643274,31,12318.344134
-38.071778,101,12405.799624
-16.998422,43,12541.626344
-2.839113,8,12582.27947
-4.721427,12,12628.111393
-9.897704,24,12714.50245
-14.232735,24,12793.698314
-11.218089,31,12898.176611
-15.326905,43,13034.549796
-15.81274,28,13133.851597
-10.821428,27,13218.868061
-4.26716,10,13265.711791
-3.001721,11,13314.052312
-12.336708,26,13401.729752
-3.19846,8,13444.147658
-4.600631,11,13495.295189
-16.943728,33,13605.47233
-7.467477,26,13688.841954
-14.263865,33,13794.578201
-4.911058,15,13853.291677
-5.914108,14,13907.648908
-10.121297,23,13985.555345
-3.831649,8,14026.005612
-3.627994,10,14072.213093
-10.088598,36,14194.481466
-4.454939,12,14241.589714
-6.914853,22,14316.326196
-9.618062,19,14380.890036
-9.03061,20,14453.877021
-16.733263,32,14539.276651
-5.590646,13,14584.11808
-14.682177,34,14698.971649
-5.573801,13,14754.346617
-4.925579,11,14802.55849
-6.850747,15,14863.714777
-7.186438,26,14953.322417
-7.355475,26,15042.418363
-5.038212,13,15092.311902
-5.156272,12,15141.080208
-7.708821,21,15214.099202
-8.841403,21,15288.232133
-19.23288,40,15407.243407
-9.03519,27,15499.43404
-15.885825,32,15605.767861
-2.911037,7,15643.557842
-8.335592,22,15722.663399
-41.686882,101,15796.642978
-11.682249,28,15887.606393
-7.107476,22,15959.20118
-20.774928,38,16086.014039
-6.266231,17,16151.93759
-12.614101,24,16245.717095
-0.503612,1,16275.843763
-0.547028,1,16307.328574
-6.840482,15,16360.679727
-4.441225,14,16418.66183
-7.34623,16,16472.155689
-14.627133,34,16585.931407
-13.456857,27,16679.33383
-9.22786,22,16758.083924
-11.546419,23,16822.675973
-4.057358,10,16868.313756
-8.932253,28,16951.952473
-2.702839,8,16992.206892
-7.81172,17,17058.328332
-9.257675,21,17134.393287
-9.855763,35,17247.040723
-3.749343,12,17298.382707
-10.533513,25,17385.564419
-8.24365,18,17448.218861
-7.194412,19,17518.863921
-8.333922,23,17596.545524
-4.915098,13,17648.840558
-15.046333,30,17757.521628
-4.887385,12,17809.501926
-4.129816,10,17848.620589
-9.123427,22,17919.461046
-8.612594,19,17991.236627
-9.458288,31,18095.963072
-3.375711,9,18138.279386
-4.742532,14,18193.84716
-3.481924,11,18243.371453
-4.95111,13,18298.167821
-4.00764,16,18360.452579
-5.684009,16,18422.635638
-7.892572,18,18490.438647
-6.167081,16,18553.639492
-12.031425,28,18648.853886
-6.221939,12,18698.577714
-8.091265,24,18780.309949
-6.830083,16,18836.378157
-13.364405,31,18940.655379
-13.713621,29,19041.378429
-8.86105,20,19108.339263
-3.565782,10,19147.817307
-6.259263,13,19202.835938
-5.163701,14,19260.237536
-4.129603,11,19303.596908
-5.932142,17,19364.603684
-5.900635,13,19419.124753
-6.055712,16,19475.052402
-17.251373,36,19586.582738
-5.542324,15,19645.866397
-7.023192,16,19699.91
-3.151406,7,19738.257727
-3.632786,10,19783.430173
-2.915098,10,19827.284809
-4.215157,14,19877.38211
-7.356677,17,19941.993075
-3.705441,10,19987.758745
-4.335591,12,20032.747791
-8.203454,21,20108.43264
-8.513788,18,20168.162106
-7.678003,19,20238.836131
-5.243124,12,20290.274994
-9.292546,20,20364.392971
-3.960161,11,20410.914356
-5.359268,16,20473.969245
-10.036202,27,20565.336251
-4.186753,11,20607.312175
-7.741874,17,20672.553073
-3.767002,10,20712.100904
-7.904868,35,20827.026639
-6.391823,12,20871.647252
-7.546219,17,20936.443084
-6.597466,22,21012.115022
-6.993394,19,21081.77522
-3.826964,10,21126.033494
-4.083563,14,21174.705312
-6.725379,15,21235.190796
-4.192734,11,21282.696489
-9.772217,24,21369.181286
-9.420354,24,21452.913391
-4.555005,15,21510.040234
-5.868113,19,21576.465385
-21.943427,45,21719.583704
-7.311126,17,21775.107238
-7.063807,18,21841.228215
-2.59085,7,21877.587885
-6.04412,19,21949.416997
-6.144115,14,22002.391844
-4.488227,14,22059.213104
-2.952698,7,22095.553591
-10.593507,24,22181.563701
-12.827963,28,22276.465833
-11.334271,41,22407.169003
-4.557319,13,22461.701862
-2.547146,7,22492.154104
-9.129094,20,22552.995737
-7.463523,24,22635.088756
-9.056365,22,22707.750605
-6.821732,21,22785.082831
-13.021859,28,22882.243526
-6.178373,18,22944.987136
-5.50817,11,22993.98385
-5.392904,14,23042.40907
-7.00225,21,23118.999144
