#{"t_start": 1551983166.4667344, "env_id": "Baxter-v0"}
r,l,t
-11.119956,39,200.037219
-4.68969,16,278.169385
-4.391429,16,360.363907
-1.564284,9,417.776599
-13.797562,39,594.884574
-1.322316,8,650.314636
-3.439502,19,743.750305
-10.99101,40,896.989909
-4.356124,20,987.710135
-2.509684,17,1074.105125
-3.695291,14,1153.445429
-1.941546,11,1218.789652
-8.319486,30,1328.140643
-1.653158,10,1389.650371
-0.147589,1,1397.321514
-10.375899,30,1535.510143
-1.284765,9,1590.287474
-1.685946,8,1649.678056
-1.08432,8,1706.486156
-1.273925,8,1772.027024
-5.510107,19,1885.144686
-1.59799,9,1937.793352
-7.793273,27,2101.854687
-3.950482,19,2231.418115
-11.238764,35,2485.626196
-7.091138,26,2664.842892
-4.823427,16,2785.512939
-4.772949,16,2893.624871
-6.816,26,3040.528955
-4.227113,15,3115.703149
-1.068416,5,3153.808258
-3.282568,13,3218.499907
-3.655516,19,3298.383568
-5.457614,33,3410.676723
-3.695083,20,3489.863278
-3.601858,14,3537.097321
-5.453469,17,3596.594948
-3.522303,18,3668.148088
-9.157847,38,3795.447806
-4.004005,15,3855.53011
-2.170524,10,3901.952549
-3.915328,16,3966.005097
-1.535948,8,4000.225164
-3.107707,20,4072.566828
-7.159527,27,4151.282323
-3.08739,15,4212.443803
-3.097952,16,4268.37207
-2.921234,12,4318.52058
-9.103393,40,4447.745596
-3.977988,16,4508.960631
-8.823555,29,4599.70828
-3.032068,11,4647.464017
-6.391478,28,4740.817653
-3.727247,24,4831.736075
-6.091599,29,4927.561727
-13.750553,56,5107.982381
-9.504471,38,5177.945319
-3.172413,22,5255.204821
-5.120428,17,5323.875222
-1.109143,7,5361.710489
-4.475203,15,5421.72466
-3.477488,17,5483.950597
-11.675085,34,5596.077377
-1.047672,5,5621.63397
-12.057865,62,5808.154268
-0.132255,1,5815.551111
-2.140128,11,5865.126807
-4.600351,16,5927.467248
-3.385019,15,5987.562444
-3.495165,17,6053.216328
-1.973841,10,6099.681436
-3.915941,19,6174.145863
-1.665873,10,6220.867873
-9.785483,36,6338.429337
-3.202058,14,6388.228209
-6.8404,21,6460.05311
-2.523347,13,6515.601208
-4.795924,18,6577.306329
-2.232173,11,6618.060136
-1.423821,6,6652.311459
-4.58173,16,6715.35383
-1.449551,10,6761.708431
-6.960392,26,6843.581543
-1.490514,7,6875.248995
-2.171577,12,6927.564599
-4.797663,17,6987.030048
