#{"t_start": 1554576078.382544, "env_id": "Baxter-v0"}
r,l,t
-5.22841,12,69.607346
-6.01264,12,122.457558
-6.492781,17,191.89772
-5.572612,16,258.191674
-8.771,20,339.362287
-7.692094,19,416.545311
-4.922007,13,475.957529
-7.041849,20,559.481334
-11.733414,24,651.720725
-3.896402,9,689.466481
-4.24229,10,738.045317
-18.924519,49,890.441479
-3.744233,10,934.101558
-8.856503,24,1027.211356
-3.171771,8,1070.148669
-12.500535,32,1186.461305
-5.718896,15,1249.893243
-4.80091,16,1316.963957
-2.417705,7,1356.818091
-5.100784,13,1416.346999
-8.919376,21,1492.159564
-5.575163,20,1571.531101
-5.761412,14,1624.313094
-11.939639,24,1709.497067
-9.56212,20,1787.734101
-8.955117,23,1875.961343
-6.668827,16,1934.955685
-2.417734,6,1964.601562
-9.80676,27,2055.035778
-6.785011,18,2128.729191
-6.07884,14,2191.445531
-18.747427,50,2336.023566
-4.520081,14,2397.70093
-13.003615,23,2484.640454
-12.23102,27,2584.729239
-3.883644,15,2644.987733
-8.969181,21,2725.721347
-7.074925,20,2798.167222
-8.200884,15,2849.346927
-23.344632,51,2967.806718
-11.397721,30,3072.692053
-5.94142,15,3136.766365
-9.442347,23,3211.076252
-10.105156,29,3314.746542
-6.317709,15,3378.218049
-2.939335,14,3438.114007
-23.153,58,3554.986475
-5.435217,16,3620.866044
-5.550781,14,3673.579883
-3.476075,9,3719.021192
-4.436996,15,3783.539998
-27.46579,68,3903.911605
-11.633682,21,3984.0664
-3.003868,9,4029.233685
-6.698441,15,4091.718516
-63.055525,101,4176.857477
-11.254918,27,4271.898841
-2.955582,9,4309.794258
-7.100452,26,4404.0363
-3.039187,9,4448.415892
-10.517983,22,4530.626654
-16.097769,37,4650.508101
-9.499765,22,4733.701968
-4.987151,12,4786.598444
-6.491354,15,4850.460992
-4.996189,16,4914.041722
-5.243069,14,4975.066021
-56.099929,101,5043.610553
-11.856659,25,5128.777163
-0.647812,1,5134.97561
-6.030936,21,5214.176876
-56.872452,101,5298.326142
-4.785249,12,5353.063473
-9.930854,23,5426.721405
-7.846402,15,5487.157018
-5.213267,17,5554.818038
-55.556554,101,5651.560433
-3.932022,10,5698.739018
-4.691843,11,5748.846442
-3.721491,10,5789.372673
-4.885853,12,5837.301553
-2.942158,10,5883.132485
-26.00293,69,6042.271435
-6.822778,17,6109.215887
-7.332158,17,6170.158628
-8.009304,27,6260.642737
-7.419699,17,6321.591703
-5.279049,15,6376.341382
-5.870396,14,6435.203629
-8.884987,22,6512.578578
-6.434821,18,6582.800992
-13.463463,31,6695.678438
-5.415869,20,6773.767831
-5.652348,23,6856.454274
-5.762176,14,6915.538034
-18.888441,42,7057.715907
-13.634626,35,7174.159828
-7.189798,20,7248.305702
-8.320447,21,7320.024679
-13.104094,29,7416.961151
-3.345553,12,7462.30506
-6.902781,14,7512.97552
-4.112273,13,7568.20058
-4.356104,10,7616.354995
-11.06532,26,7711.935248
-8.659804,28,7802.094209
-7.912636,18,7876.813397
-9.345181,21,7958.33567
-3.13341,8,7993.331058
-2.893255,10,8041.498293
-3.728552,14,8100.533914
-18.484496,47,8232.905013
-2.856136,10,8272.751527
-5.308432,11,8323.394942
-1.75463,5,8349.859745
-6.884183,16,8410.123973
-2.736353,10,8449.936747
-8.308568,28,8549.332378
-4.970624,15,8611.61865
-4.766143,14,8671.61112
-7.614035,21,8751.636782
-1.857618,5,8784.132175
-19.329466,41,8910.288507
-43.830952,101,9001.119013
-2.827391,11,9044.377129
-2.62333,7,9076.631111
-3.048039,12,9128.875494
-9.334162,43,9273.891565
-3.551661,13,9330.906375
-1.823369,5,9363.666175
-5.550682,17,9430.332604
-3.428133,10,9477.341203
-4.943661,13,9533.12894
-10.731799,22,9619.987426
