#{"t_start": 1552945111.798914, "env_id": "Baxter-v0"}
r,l,t
-3.561547,23,251.340632
-3.21338,12,401.775558
-1.997568,8,517.266036
-6.415254,19,756.175555
-0.732342,5,866.475621
-2.695676,15,1181.014506
-4.451885,19,1523.280888
-3.009762,12,1690.454156
-12.293511,41,2098.981489
-2.123259,9,2210.645075
-5.04013,24,2464.804349
-3.417483,21,2690.207369
-1.648743,8,2807.631659
-5.703104,25,3076.843808
-3.63357,15,3258.507678
-11.034094,37,3621.40424
-4.406428,16,3803.449483
-4.315527,22,4042.216497
-3.198923,16,4232.138985
-5.659757,21,4463.543234
-6.189966,37,4832.727562
-1.788744,9,4948.76683
-11.025402,43,5377.191
-3.494023,16,5553.292556
-1.384895,8,5658.58979
-2.42547,11,5794.295578
-3.703726,16,5954.884655
-0.269438,1,5973.486933
-6.014891,28,6263.705678
-4.036889,18,6471.072675
-1.39631,9,6618.705208
-6.425478,25,6890.906557
-1.737976,11,7051.679673
-1.710983,11,7193.391708
-6.836557,26,7470.741531
-1.654328,7,7577.547896
-33.606857,101,7786.914626
-3.997831,16,7973.657675
-6.612864,22,8232.890614
-2.748209,11,8374.65513
-18.387775,48,8810.754183
-8.139116,27,9069.325224
-7.103864,19,9297.893212
-4.044123,17,9509.282423
-6.591666,18,9743.552374
-3.608953,16,9964.681336
-3.458179,13,10157.160498
-4.45454,14,10329.679344
-9.264656,34,10757.652411
-3.32943,15,10978.55806
-1.382451,6,11102.237483
-6.174919,30,11423.532895
-4.632558,20,11635.804754
-3.266391,16,11813.990173
-2.562616,17,12005.582365
-1.040484,8,12119.527747
-4.248589,22,12348.235033
-1.212956,8,12460.293683
-1.66526,10,12586.862169
-4.511805,31,12891.973802
-2.081092,13,13046.861809
-3.903931,24,13299.655894
-5.029827,23,13539.000025
-3.621029,17,13717.09145
-1.898011,10,13848.887674
-3.772953,18,14041.168557
-4.088732,15,14215.326985
-4.403124,17,14407.520538
-4.171936,14,14576.633745
-5.237159,26,14857.647918
-1.686575,9,14985.13704
-3.216985,10,15126.540877
-1.248778,6,15222.437545
-9.513758,37,15600.440872
-1.289871,7,15710.300494
-6.372802,21,15941.272114
-3.031907,13,16104.385065
-11.432495,36,16464.882285
-3.521368,18,16672.046231
-8.484293,32,16977.889069
-4.537312,19,17178.212505
-3.517908,17,17342.297575
-4.112147,21,17563.469034
-5.918833,21,17787.238411
-12.463199,37,18102.457576
-2.878738,12,18248.337234
-1.270836,5,18317.722888
-2.628682,10,18441.9205
-1.73473,13,18595.358453
-2.952821,9,18722.254413
-4.94244,19,18910.005093
-4.66488,15,19079.715899
-3.147813,17,19263.97335
-1.572342,11,19394.464504
-2.700974,11,19529.34846
-2.730001,11,19664.048254
-7.457699,22,19893.073209
-1.742019,8,20007.979498
-2.376883,10,20133.181042
-4.37463,15,20302.833909
-2.151597,8,20411.640697
-4.758298,18,20629.444363
-4.465916,14,20817.333736
-8.015397,28,21134.829052
-6.246005,20,21386.739487
-3.636563,12,21562.272738
-7.617319,30,21850.257999
-3.390074,12,21994.465035
-7.137863,28,22269.609401
-5.06451,18,22462.076282
-7.011213,28,22741.032448
-4.207354,26,22996.452207
-6.206303,20,23223.98751
-2.361705,9,23350.51278
-5.612649,33,23733.498482
-3.143449,10,23867.721228
-3.355679,10,24008.087048
-13.272153,29,24296.582128
-13.932716,40,24688.830948
-4.113738,13,24848.079041
-6.902775,18,25050.25047
-3.41195,10,25179.577446
-3.215612,16,25360.874369
-4.322432,19,25567.280966
-10.31998,27,25844.054072
-4.45911,13,25999.728327
-3.662965,12,26156.458215
-8.671036,24,26404.086671
