#{"t_start": 1552345104.1927338, "env_id": "Baxter-v0"}
r,l,t
-19.651662,35,130.642699
-5.775298,14,188.754001
-6.497199,20,263.550123
-11.881303,28,351.82576
-14.563439,27,413.666552
-3.481467,8,455.880984
-4.605799,13,509.310483
-7.169285,17,568.96032
-5.330755,15,628.973002
-4.783676,14,684.870843
-3.604999,11,727.511236
-12.275891,25,809.403713
-14.887344,43,948.704767
-7.840776,21,1017.914062
-21.142361,43,1147.951956
-7.475786,15,1208.992776
-4.429498,12,1253.102173
-11.14236,21,1332.024138
-64.515599,101,1415.577269
-8.793239,19,1487.770912
-8.587125,20,1559.789062
-7.292671,15,1613.234045
-7.584865,17,1669.330117
-3.064452,12,1719.403866
-3.735108,12,1770.910878
-21.875247,42,1894.797449
-5.600401,24,1975.95329
-15.069983,23,2052.225447
-7.915538,13,2109.27052
-6.979422,12,2163.072477
-19.647059,28,2257.249773
-1.093187,1,2274.345131
-1.044447,1,2291.549838
-1.069353,1,2308.537953
-1.04279,1,2326.095504
-1.029501,1,2330.351288
-1.064541,1,2347.501032
-1.043422,1,2364.353372
-1.00932,1,2380.519825
-1.067229,1,2397.717759
-1.035761,1,2415.00398
-1.088628,1,2432.478422
-1.032892,1,2448.898664
-1.100127,1,2461.011774
-1.092136,1,2478.74208
-1.031142,1,2495.161561
-1.099264,1,2511.786347
-1.064897,1,2529.308255
-1.092824,1,2542.001558
-1.030228,1,2559.274438
-1.09358,1,2572.24271
-1.053384,1,2584.34759
-1.048698,1,2596.993355
-1.063958,1,2609.04834
-1.065882,1,2621.626831
-1.066278,1,2638.4384
-1.064938,1,2655.87188
-1.04217,1,2667.94647
-1.099538,1,2684.684169
-1.071348,1,2701.019559
-1.093262,1,2712.744548
-1.046867,1,2730.248617
-1.067923,1,2747.363197
-1.065169,1,2764.12826
-1.083396,1,2781.206245
-1.083247,1,2797.205353
-1.059042,1,2809.924771
-1.07932,1,2826.787375
-1.05833,1,2844.308389
-1.076176,1,2848.022734
-1.10474,1,2860.213489
-1.027496,1,2877.181238
-1.030051,1,2894.16599
-1.009811,1,2910.751991
-1.086284,1,2927.089188
-1.04022,1,2944.185393
-1.092559,1,2960.983593
-1.023371,1,2977.334549
-1.031951,1,2993.863003
-1.066112,1,3011.975984
-1.086343,1,3029.131554
-1.053491,1,3046.114304
-1.04084,1,3049.864485
-1.068571,1,3067.509093
-1.03655,1,3084.187315
-1.098,1,3100.629343
-1.085082,1,3112.965272
-1.0803,1,3129.368925
-1.034745,1,3146.233062
-1.054553,1,3163.133018
-1.086253,1,3179.595146
-1.064966,1,3182.868062
-1.088218,1,3194.570498
-1.035697,1,3211.39879
-1.084059,1,3227.957665
-1.042576,1,3245.393192
-1.097053,1,3262.069529
-1.036272,1,3278.584806
-1.107047,1,3294.711021
-1.031603,1,3312.133142
-1.076425,1,3328.459776
-1.096694,1,3345.193633
-1.063958,1,3361.794492
-1.10022,1,3378.683536
-1.104897,1,3395.713725
-1.093493,1,3407.395742
-1.061626,1,3424.665339
-1.038433,1,3441.360677
-1.092937,1,3457.7152
-1.07801,1,3474.410025
-1.079276,1,3491.611924
-1.03042,1,3508.992679
-1.096255,1,3526.342537
-1.021426,1,3543.489975
-1.052992,1,3560.515219
-1.083763,1,3577.562311
-1.073965,1,3594.651023
-1.100149,1,3611.223687
-1.045385,1,3628.523325
-1.058143,1,3646.007254
-1.030803,1,3662.885263
-1.095035,1,3679.998712
-1.031836,1,3696.60052
-1.031488,1,3709.549135
-1.096251,1,3726.975073
-1.064093,1,3743.955554
-1.043246,1,3761.276564
-1.01594,1,3778.253488
-1.061352,1,3790.570216
-1.031814,1,3807.656903
-1.041387,1,3825.109675
-1.103658,1,3842.479648
-1.066045,1,3859.638707
-1.026989,1,3877.04384
-1.059073,1,3894.21654
-1.055495,1,3911.640493
-1.045303,1,3929.303119
-1.086262,1,3947.034849
-1.041268,1,3964.109887
-1.042184,1,3980.361398
-1.026433,1,3997.892964
-1.056865,1,4010.798089
-1.042776,1,4023.572275
-1.059141,1,4036.266914
-1.072773,1,4053.13032
-1.063341,1,4070.297992
-1.100949,1,4087.514769
-1.064954,1,4105.258827
-1.068278,1,4122.252793
-1.084685,1,4139.053514
-1.085765,1,4155.738745
-1.076894,1,4172.593403
-1.097738,1,4189.474891
-1.060274,1,4206.509208
-1.053222,1,4223.962344
-1.021476,1,4235.252921
-1.032076,1,4252.194912
-1.033918,1,4264.836829
-1.035608,1,4281.201264
-1.054211,1,4298.409072
-1.054453,1,4315.761931
-1.036423,1,4332.995054
-1.044547,1,4350.330656
-1.026612,1,4368.094366
-1.043204,1,4384.24565
-1.065875,1,4401.543487
-1.041258,1,4413.941159
-1.004705,1,4430.918179
-1.099517,1,4442.623447
-1.061276,1,4459.568556
-1.086808,1,4476.508176
-1.043532,1,4494.257948
-1.090819,1,4511.1072
-1.018089,1,4527.743328
-1.064578,1,4539.474262
-1.035874,1,4550.930083
-1.0711,1,4567.806155
-1.093118,1,4579.513425
-1.081088,1,4596.294494
-1.046031,1,4613.291882
-1.091132,1,4625.885502
-1.085562,1,4642.028343
-1.057029,1,4659.121924
-1.02574,1,4676.023906
-1.055108,1,4692.511137
-1.083623,1,4710.057466
-1.024815,1,4726.918392
-1.052816,1,4743.746175
-1.090512,1,4760.511968
-1.095133,1,4777.316476
-1.064568,1,4794.763283
-1.065624,1,4806.965482
-1.073739,1,4823.104698
-1.085606,1,4835.046504
-1.053399,1,4851.735743
-1.063514,1,4868.035339
-1.084209,1,4879.558686
-1.066864,1,4895.977592
-1.084716,1,4912.175463
-1.052404,1,4923.876456
-1.050762,1,4935.500594
-1.038211,1,4952.542409
-1.081917,1,4969.001232
-1.078857,1,4985.845627
-1.031665,1,5002.221737
-1.052432,1,5018.784971
-1.058515,1,5035.843261
-1.027901,1,5047.795372
-1.054519,1,5064.12511
-1.092215,1,5076.140323
-1.096216,1,5088.17853
-1.054585,1,5105.27957
-1.051815,1,5122.200099
-1.090927,1,5138.435166
-1.101684,1,5141.573005
-1.036199,1,5153.902872
-1.016858,1,5170.41323
-1.02884,1,5187.400564
-1.037285,1,5198.653542
-1.029008,1,5215.234062
-1.053643,1,5232.231556
-1.061798,1,5249.24025
-1.077349,1,5261.111639
-1.014888,1,5276.75839
-1.087162,1,5292.551048
-1.088322,1,5307.826385
-1.030069,1,5319.901491
-1.071057,1,5336.390668
-1.029529,1,5348.557143
-1.028234,1,5364.372809
-1.094433,1,5380.624151
-1.050831,1,5397.557363
-1.030294,1,5409.701504
-1.09086,1,5426.515631
-1.074982,1,5442.939559
-1.022456,1,5459.249645
-1.009121,1,5475.578133
-1.086637,1,5492.670258
-1.039261,1,5509.583635
-1.071327,1,5521.840093
-1.06168,1,5534.745422
-1.029042,1,5547.111472
-1.043912,1,5559.236835
-1.040345,1,5571.369508
-1.037044,1,5583.373925
-1.052866,1,5600.285024
-1.06346,1,5613.008716
-1.10419,1,5630.350179
-1.077483,1,5646.865155
-1.027782,1,5663.723195
-1.050799,1,5676.411166
-1.066281,1,5693.02506
-1.005331,1,5708.986881
-1.04521,1,5725.655054
-1.093711,1,5742.082232
-1.039311,1,5758.918558
-1.040171,1,5775.546335
-1.072461,1,5787.844625
-1.049304,1,5804.705545
-1.030563,1,5808.777311
-1.062682,1,5825.670872
-1.089425,1,5837.152539
-1.059077,1,5854.458812
-1.069841,1,5870.743948
-1.057046,1,5887.062578
-1.08765,1,5903.593307
-1.044962,1,5920.50294
-1.044474,1,5932.904519
-1.02665,1,5944.951547
-1.089433,1,5961.702579
-1.085952,1,5973.913251
-1.070841,1,5991.098967
-1.088226,1,6008.544121
-1.034345,1,6025.672813
-1.036117,1,6041.625417
-1.093575,1,6053.642865
-1.068162,1,6070.190455
-1.013463,1,6085.974059
-1.035795,1,6103.045445
-1.058657,1,6119.162328
-1.095981,1,6136.137818
-1.07553,1,6152.706367
-1.03293,1,6163.738716
-1.089559,1,6180.97527
-1.072193,1,6197.500152
-1.022876,1,6214.483014
-1.040933,1,6231.246406
-1.062925,1,6243.738071
-1.030743,1,6255.150392
-1.093553,1,6266.490451
-1.068446,1,6278.220314
-1.010343,1,6294.905456
-1.02386,1,6311.767997
-1.034536,1,6328.386238
-1.037956,1,6345.440786
-1.071744,1,6357.260097
-1.040749,1,6373.897899
-1.069846,1,6390.22326
-1.045606,1,6407.326353
-1.085611,1,6424.241608
-1.005134,1,6440.677814
-1.058498,1,6452.800237
-1.039413,1,6464.883692
-1.042408,1,6481.623649
-1.052976,1,6498.273535
-1.047519,1,6510.537902
-1.08287,1,6522.708277
-1.095354,1,6539.306798
-1.05641,1,6555.734147
-1.062059,1,6567.696638
-1.090035,1,6584.157774
-1.099958,1,6600.663253
-1.048902,1,6617.245464
-1.045881,1,6634.223569
-1.064375,1,6650.63635
-1.020539,1,6667.372266
-1.033404,1,6684.26814
-1.023128,1,6701.438306
-1.056663,1,6718.987128
-1.100191,1,6735.89172
-1.094054,1,6752.501953
-1.048227,1,6756.358216
-1.058002,1,6768.849207
-1.027564,1,6785.305114
